Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1758	12,6,6,4,5	0.03590008243918419,0.0437832772731781,0.04403437674045563,0.0076519339345395565,0.003276836359873414	3,0,0,0,0	2,0,0,0,0	5,0,0,0,0	2,1,1,1,1	10.0,13.76,13.62,16.39,14.67	1,0,0,0,0	2,2,2,2,3	21.0,19.0,19.0,17.0,17.0	8.0,6.0,6.0,5.0,6.0	37.0,29.0,28.0,24.0,31.0	12.0,9.0,8.0,6.0,7.0	29.0,25.0,25.0,22.0,23.0	49.0,38.0,36.0,30.0,38.0	238.04108,176.46652,167.17882,133.78294,171.89536	15.75,14.25,12.666667,10.200001,9.916666	3749.147,2514.648,2117.5984,1364.5862,1704.6288	208.28595,139.70267,117.644356,75.81034,94.7016	0.07934702,0.058822174,0.05572627,0.044594314,0.05729845	101.82780456542969,114.84321594238281,115.1243667602539,122.85169219970703,117.93329620361328	0,24,33,41,176	0,1,2,1,3	0,8,4,4,5	0,136,16,69,81	1490.json
4057	9,9,9,8,8	0.2078412026166916,0.2078412026166916,0.20673973858356476,0.2298232465982437,0.2298232465982437	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.5,3.5,3.5,3.32,3.32	0,0,0,0,0	1,1,1,1,1	16.0,16.0,16.0,16.0,16.0	9.0,9.0,9.0,9.0,9.0	32.0,32.0,32.0,32.0,32.0	11.0,11.0,11.0,11.0,11.0	25.0,25.0,25.0,25.0,25.0	43.0,43.0,43.0,43.0,43.0	199.6858,199.6858,199.6858,199.6858,199.6858	9.777778,9.777778,9.777778,9.777778,9.777778	1952.4834,1952.4834,1952.4834,1952.4834,1952.4834	108.4713,108.4713,108.4713,108.4713,108.4713	0.06656194,0.06656194,0.06656194,0.06656194,0.06656194	107.63188934326172,107.63188934326172,107.63188934326172,109.53997039794922,109.53997039794922	0,1807,2128,2332,2346	0,0,2,6,0	0,0,4,12,0	0,0,2,26,0	3018.json
1624	7,8	0.057125672698020935,0.09163450449705124	2,2	1,1	3,3	2,2	2.56,2.4	1,1	4,4	19.0,19.0	9.0,10.0	32.0,34.0	13.0,15.0	28.0,29.0	45.0,49.0	216.33098,238.04108	13.722222,14.25	2968.5417,3392.0854	164.91899,188.44919	0.072110325,0.07934702	111.05684661865234,108.3963394165039	0,525	0,3	0,5	0,53	1044.json
362	3	0.14069339632987976	0	0	0	1	1.89	0	1	11.0	5.0	16.0	6.0	16.0	22.0	88.0	6.6000004	580.80005	32.26667	0.029333333	129.69032287597656	0	0	0	0	2978.json
2091	9,9,33,33,33,33	0.14887920022010803,0.14696837961673737,0.0,0.0,0.0,0.0	4,4,11,11,11,11	1,1,10,10,10,10	5,5,21,21,21,21	3,3,9,9,9,9	3.98,3.98,5.74,5.74,5.74,5.74	2,2,3,3,3,3	1,1,15,15,15,15	15.0,15.0,32.0,32.0,32.0,32.0	6.0,6.0,20.0,20.0,20.0,20.0	29.0,29.0,135.0,135.0,135.0,135.0	10.0,10.0,52.0,52.0,52.0,52.0	21.0,21.0,52.0,52.0,52.0,52.0	39.0,39.0,187.0,187.0,187.0,187.0	171.30037,171.30037,1065.9823,1065.9823,1065.9823,1065.9823	12.5,12.5,41.6,41.6,41.6,41.6	2141.2546,2141.2546,44344.863,44344.863,44344.863,44344.863	118.95859,118.95859,2463.6035,2463.6035,2463.6035,2463.6035	0.057100125,0.057100125,0.35532743,0.35532743,0.35532743,0.35532743	107.96918487548828,107.96918487548828,76.03398895263672,76.03398895263672,76.03398895263672,76.03398895263672	0,162,404,922,1230,2073	0,3,29,1,1,4	0,6,33,2,2,8	0,10,1496,1,26,24	2514.json
2027	4,4	0.021139713004231453,0.024798110127449036	0,0	0,0	0,0	1,1	1.73,1.73	0,0	0,0	9.0,9.0	2.0,2.0	10.0,10.0	2.0,2.0	11.0,11.0	12.0,12.0	41.51318,41.51318	4.5,4.5	186.80931,186.80931	10.378295,10.378295	0.013837727,0.013837727	128.936767578125,128.936767578125	0,98	0,1	0,2	0,2	2605.json
2021	6,6,6	0.7003971934318542,0.7003971934318542,0.7033947110176086	0,0,0	0,0,0	0,0,0	1,1,1	2.0,2.0,2.0	0,0,0	3,3,3	19.0,19.0,19.0	5.0,5.0,5.0	30.0,30.0,30.0	9.0,9.0,9.0	24.0,24.0,24.0	39.0,39.0,39.0	178.81354,178.81354,178.81354	17.1,17.1,17.1	3057.7117,3057.7117,3057.7117	169.87286,169.87286,169.87286	0.059604514,0.059604514,0.059604514	114.7745132446289,114.7745132446289,114.7745132446289	0,23,92	0,0,3	0,0,6	0,0,3	2870.json
6200	4,4,3,3	0.9590447545051575,0.9590606689453125,0.9588276743888855,0.7430808544158936	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.73,1.73,1.89,1.89	0,0,0,0	2,2,2,2	12.0,12.0,12.0,13.0	3.0,3.0,3.0,4.0	18.0,18.0,18.0,20.0	7.0,7.0,7.0,9.0	15.0,15.0,15.0,17.0	25.0,25.0,25.0,29.0	97.672264,97.672264,97.672264,118.53642	14.0,14.0,14.0,14.625	1367.4117,1367.4117,1367.4117,1733.5952	75.967316,75.967316,75.967316,96.310844	0.03255742,0.03255742,0.03255742,0.039512143	124.48761749267578,124.48761749267578,129.1480712890625,128.14134216308594	0,3950,4434,5187	0,0,1,1	0,0,2,2	0,1,15,20	2631.json
1881	21,18,18,18	0.04214382544159889,0.060683444142341614,0.06052825599908829,0.06076116859912872	5,5,5,5	4,4,4,4	9,9,9,9	4,4,4,4	5.88,5.85,5.85,5.85	3,3,3,3	10,10,10,10	25.0,25.0,25.0,25.0	13.0,13.0,13.0,13.0	75.0,75.0,75.0,75.0	31.0,31.0,31.0,31.0	38.0,38.0,38.0,38.0	106.0,106.0,106.0,106.0	556.28033,556.28033,556.28033,556.28033	29.807693,29.807693,29.807693,29.807693	16581.434,16581.434,16581.434,16581.434	921.19073,921.19073,921.19073,921.19073	0.18542677,0.18542677,0.18542677,0.18542677	87.88812255859375,90.38536071777344,90.38536071777344,90.38536071777344	0,170,212,1183	0,1,2,1	0,2,4,2	0,34,2,3	2311.json
1908	4,3,3	0.6130367517471313,0.8652905821800232,0.31042516231536865	0,0,0	0,0,0	0,0,0	1,1,1	1.73,1.89,1.89	0,0,0	0,0,1	12.0,12.0,11.0	3.0,3.0,1.0	16.0,16.0,13.0	3.0,3.0,1.0	15.0,15.0,12.0	19.0,19.0,14.0	74.23092,74.23092,50.189476	6.0,6.0,5.5	445.3855,445.3855,276.0421	24.743639,24.743639,15.335673	0.024743639,0.024743639,0.016729826	125.91468811035156,130.57513427734375,132.61029052734375	0,621,1009	0,3,1	0,3,5	0,235,258	2326.json
