Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
444	4,4,4,4,4	0.18762290477752686,0.1257680058479309,0.1257680058479309,0.02779812179505825,0.00820198468863964	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	2.0,2.0,2.0,2.0,2.0	0,0,0,0,0	4,3,3,3,3	0,230,230,295,404	0,1,0,1,1	0,2,0,2,2	0,26,0,23,32	9469.json
1963	9,8,8,13,19,13,16	0.4550815224647522,0.05408516898751259,0.032182712107896805,2.7385246357880533E-4,0.0,5.855138879269361E-4,0.01709003373980522	0,1,1,1,2,3,3	0,1,1,1,2,3,3	0,2,2,2,4,6,6	2,2,2,3,3,4,4	2.27,2.83,4.8,3.37,1.73,2.46,2.22	1,1,1,2,1,1,1	3,4,6,13,13,11,8	0,1,19,42,56,476,1118	0,5,5,10,17,10,12	0,14,10,15,27,27,18	0,214,211,384,512,532,232	5955.json
1195	3,3	0.7558752298355103,0.7558752298355103	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,113	0,0	0,0	0,0	2914.json
213	3	0.004115676041692495	0	0	0	1	1.89	0	1	0	0	0	0	4719.json
444	9,9,10	0.0021271684672683477,0.0021271684672683477,9.935654234141111E-4	0,0,0	0,0,0	0,0,0	1,1,1	4.26,4.26,5.78	1,1,1	3,3,5	0,230,313	0,0,2	0,0,3	0,0,73	8921.json
2736	3,3,3,3	0.6329934597015381,0.6329934597015381,0.6329934597015381,0.6329934597015381	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	0,123,563,563	0,0,0,0	0,0,0,0	0,0,0,0	6789.json
2592	3,3,3,3,3,3,3	0.2136380970478058,0.2136380970478058,0.2136380970478058,0.2136380970478058,0.2136380970478058,0.2136380970478058,0.2136380970478058	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,6,77,89,95,419,419	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	6361.json
1165	3,3	0.8352776169776917,0.8352776169776917	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,951	0,0	0,0	0,0	9450.json
2220	3	0.5821553468704224	0	0	0	1	1.89	0	2	0	0	0	0	3258.json
213	3,3,3	0.022919531911611557,0.02160278707742691,0.02397339791059494	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	0,1,1	0,1,1	0,2,2	0,7,15	4731.json
715	10	0.01934039779007435	1	1	2	2	9.87	1	4	0	0	0	0	5295.json
213	4	0.22936435043811798	0	0	0	1	2.0	0	1	0	0	0	0	4888.json
2519	3,3,3,3	0.09119807183742523,0.05160396173596382,0.05160396173596382,0.05160396173596382	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,0,0,0	0,346,346,1605	0,1,0,0	0,2,0,0	0,14,0,0	576.json
2746	6,6,6,6	0.6965935826301575,0.6668928265571594,0.6668928265571594,0.6668928265571594	1,1,1,1	1,1,1,1	2,2,2,2	2,2,2,2	2.75,2.75,2.75,2.75	1,1,1,1	1,2,2,2	0,223,573,1833	0,3,0,0	0,6,0,0	0,9,0,0	712.json
