Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1011	14,14,13,13,4,4,4	0.04550866782665253,0.017975594848394394,0.025226520374417305,0.01948843151330948,0.0,5.178194842301309E-4,5.052820779383183E-4	1,1,1,1,0,0,0	1,1,1,1,0,0,0	2,2,2,2,0,0,0	2,2,2,2,1,1,1	2.8,2.8,2.89,2.89,2.0,2.0,2.0	1,1,1,1,0,0,0	8,8,6,6,5,3,3	27.0,28.0,25.0,25.0,19.0,18.0,18.0	10.0,11.0,9.0,9.0,7.0,7.0,7.0	69.0,72.0,63.0,63.0,38.0,32.0,32.0	28.0,30.0,27.0,27.0,14.0,14.0,14.0	37.0,39.0,34.0,34.0,26.0,25.0,25.0	97.0,102.0,90.0,90.0,52.0,46.0,46.0	505.317,539.111,457.87167,457.87167,244.42288,213.61737,213.61737	37.8,38.18182,37.5,37.5,19.0,18.0,18.0	19100.982,20584.24,17170.188,17170.188,4644.0347,3845.1128,3845.1128	1061.1656,1143.5688,953.8993,953.8993,258.00192,213.61737,213.61737	0.168439,0.17970367,0.15262389,0.15262389,0.0814743,0.07120579,0.07120579	95.41630554199219,95.07968139648438,97.12955474853516,97.12955474853516,119.7177505493164,120.41825866699219,120.41825866699219	0,250,438,442,606,616,778	0,2,1,3,1,1,1	0,4,3,6,11,2,2	0,19,77,32,286,24,11	2757.json
1256	8,8,9,9,10,10,12,13,13,13,13,13,13,13	0.10433840751647949,0.11296813189983368,0.004070388153195381,0.004087343811988831,0.006587313953787088,0.006867554504424334,0.0402405746281147,0.0015992847038432956,0.0011818651109933853,0.001069333404302597,0.0011561375577002764,0.0011561375577002764,0.0011873487383127213,0.0011002555256709456	1,1,2,2,2,2,2,2,2,2,2,2,2,2	1,1,2,2,2,2,2,2,2,2,2,2,2,2	2,2,4,4,4,4,4,4,4,4,4,4,4,4	2,2,3,3,3,3,3,3,3,3,3,3,3,3	5.66,5.66,3.14,3.14,3.67,3.67,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37	1,1,1,1,1,1,1,1,1,1,1,1,1,1	2,2,4,4,4,4,4,7,7,7,7,7,7,7	21.0,23.0,27.0,27.0,27.0,27.0,28.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0	9.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0	40.0,42.0,58.0,58.0,58.0,58.0,69.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0	15.0,15.0,20.0,20.0,20.0,20.0,24.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0	30.0,32.0,37.0,37.0,37.0,37.0,39.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0	55.0,57.0,78.0,78.0,78.0,78.0,93.0,104.0,109.0,109.0,109.0,109.0,109.0,109.0	269.87897,285.0,406.33737,406.33737,406.33737,406.33737,491.54242,560.801,591.4628,591.4628,591.4628,591.4628,591.4628,591.4628	17.5,19.166666,27.0,27.0,27.0,27.0,30.545456,36.63636,38.75,38.75,38.75,38.75,38.75,38.75	4722.882,5462.5,10971.109,10971.109,10971.109,10971.109,15014.388,20545.709,22919.186,22919.186,22919.186,22919.186,22919.186,22919.186	262.38232,303.47223,609.5061,609.5061,609.5061,609.5061,834.1326,1141.4282,1273.2881,1273.2881,1273.2881,1273.2881,1273.2881,1273.2881	0.08995966,0.095,0.13544579,0.13544579,0.13544579,0.13544579,0.16384748,0.18693368,0.19715428,0.19715428,0.19715428,0.19715428,0.19715428,0.19715428	107.74358367919922,107.4601058959961,103.47760772705078,103.47760772705078,101.77076721191406,101.77076721191406,97.82726287841797,95.8451156616211,95.56830596923828,95.56830596923828,95.56830596923828,95.56830596923828,95.56830596923828,95.56830596923828	0,66,102,106,193,317,378,379,379,381,704,741,742,758	0,2,9,1,6,1,5,3,2,1,2,1,1,1	0,4,18,2,11,2,7,6,4,2,4,2,2,2	0,36,247,6,25,15,195,104,108,34,12,7,11,13	1012.json
392	4,11,7,7	0.005338543560355902,0.0,2.674092829693109E-4,0.0011872105533257127	0,1,0,0	0,1,0,0	0,2,0,0	1,2,1,1	12.52,7.53,9.72,9.72	0,0,0,0	1,9,6,6	18.0,30.0,23.0,23.0	5.0,16.0,9.0,6.0	27.0,78.0,50.0,47.0	7.0,35.0,14.0,11.0	23.0,46.0,32.0,29.0	34.0,113.0,64.0,58.0	153.8011,624.1625,320.0,281.7629	12.599999,32.8125,17.88889,21.083334	1937.8938,20480.332,5724.4443,5940.5015	107.66077,1137.7963,318.0247,330.02786	0.051267035,0.20805416,0.10666667,0.09392097	122.12659454345703,98.22476196289062,109.25098419189453,109.91271209716797	0,181,194,376	0,9,1,4	0,10,7,8	0,582,376,63	4090.json
370	3	0.8901982307434082	0	0	0	1	1.89	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	0	3756.json
853	3,3,3,3	0.9822152256965637,0.8243615031242371,0.8083928227424622,0.5241405963897705	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	2.0,1.89,1.89,1.89	0,0,0,0	1,1,1,2	14.0,13.0,13.0,15.0	3.0,3.0,3.0,3.0	16.0,15.0,15.0,19.0	4.0,4.0,4.0,5.0	17.0,16.0,16.0,18.0	20.0,19.0,19.0,24.0	81.74926,76.0,76.0,100.0782	9.333334,8.666667,8.666667,12.5	762.99316,658.6667,658.6667,1250.9775	42.388508,36.592594,36.592594,69.49875	0.027249753,0.025333334,0.025333334,0.0333594	130.07347106933594,130.45266723632812,130.45266723632812,129.0215301513672	0,84,199,602	0,1,2,1	0,3,4,2	0,86,30,44	3451.json
374	3	0.7708965539932251	0	0	0	1	1.89	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	0	914.json
580	18,18,18	0.04743146151304245,0.04743146151304245,0.05292307958006859	3,3,3	2,2,2	5,5,5	4,4,4	2.51,2.51,2.51	1,1,1	4,4,4	34.0,34.0,34.0	18.0,18.0,18.0	85.0,85.0,85.0	43.0,43.0,43.0	52.0,52.0,52.0	128.0,128.0,128.0	729.6563,729.6563,729.6563	40.61111,40.61111,40.61111	29632.152,29632.152,29632.152	1646.2307,1646.2307,1646.2307	0.24321876,0.24321876,0.24321876	88.97459411621094,88.97459411621094,88.97459411621094	0,0,65	0,21,2	0,21,4	0,0,14	5276.json
843	3,3	0.8440746665000916,0.6116569638252258	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	12.0,12.0	3.0,3.0	16.0,18.0	3.0,4.0	15.0,15.0	19.0,22.0	74.23092,85.95159	6.0,8.0	445.3855,687.61273	24.743639,38.200706	0.024743639,0.02865053	130.57513427734375,129.81280517578125	0,74	0,1	0,2	0,3	3175.json
387	14	0.0013761515729129314	2	3	5	4	4.68	2	7	31.0	15.0	81.0	31.0	46.0	112.0	618.6389	32.033333	19817.066	1100.9481	0.20621297	93.90415954589844	0	0	0	0	3865.json
938	4,4,4	0.45172226428985596,0.4928556978702545,0.6112145185470581	0,0,0	0,0,0	0,0,0	1,1,1	2.0,2.0,2.0	0,0,0	3,1,1	19.0,19.0,19.0	5.0,6.0,6.0	36.0,34.0,34.0	9.0,11.0,11.0	24.0,25.0,25.0	45.0,45.0,45.0	206.3233,208.97353,208.97353	17.1,17.416668,17.416668	3528.1287,3639.6226,3639.6226	196.00714,202.20125,202.20125	0.06877443,0.06965784,0.06965784	120.59892272949219,120.53255462646484,120.53255462646484	0,258,259	0,1,1	0,2,2	0,30,9	1305.json
