Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
3099	3,3,3,3,3,3,4,12,13,14,14,14	0.7587946057319641,0.7587946057319641,0.6424545049667358,0.671101450920105,0.671101450920105,0.671101450920105,0.38558101654052734,0.44147974252700806,0.01245021540671587,0.00855871569365263,0.00855871569365263,0.00855871569365263	0,0,0,0,0,0,0,2,3,3,3,3	0,0,0,0,0,0,0,2,4,4,4,4	0,0,0,0,0,0,0,4,7,7,7,7	1,1,1,1,1,1,1,3,5,5,5,5	1.89,1.89,3.77,3.77,3.77,3.77,4.0,4.93,3.72,3.61,3.61,3.61	0,0,0,0,0,0,0,2,1,1,1,1	0,0,0,0,0,0,1,6,10,10,10,10	0,0,1,1067,1123,1137,1771,1878,1917,1917,2626,2836	0,0,3,0,0,0,1,9,8,3,2,2	0,0,6,0,0,0,1,9,16,5,4,4	0,0,34,10,0,0,24,259,196,22,8,8	1257.json
948	8	0.08201124519109726	6	2	8	3	2.83	0	6	0	0	0	0	1611.json
986	11	0.04448128491640091	0	0	0	1	2.86	1	5	0	0	0	0	5368.json
950	3,3	0.9419674873352051,0.9419674873352051	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,115	0,0	0,0	0,0	5765.json
892	5,5	0.047315265983343124,0.047315265983343124	0,0	0,0	0,0	1,1	5.43,5.43	0,0	5,5	0,58	0,0	0,0	0,0	6197.json
951	3	0.21199169754981995	0	0	0	1	1.89	0	1	0	0	0	0	2169.json
3099	13,13,14,14,20,20,20,20,20,18,18,18,18,18,18,15,16	0.04162861034274101,0.04162861034274101,0.02508663758635521,0.01463642530143261,0.008350914344191551,0.008350914344191551,0.008350914344191551,0.008350914344191551,0.008007729426026344,0.007002910599112511,0.005839144811034203,0.007002910599112511,0.007274550385773182,0.0031397028360515833,0.003131713019683957,0.0023719831369817257,0.0029035829938948154	2,2,2,2,3,3,3,3,4,3,1,3,3,3,3,3,3	3,3,3,3,4,4,4,4,4,3,2,3,3,3,3,3,3	5,5,5,5,7,7,7,7,8,6,3,6,6,6,6,6,6	4,4,4,4,6,6,6,6,6,5,4,5,5,5,5,4,4	4.83,4.83,4.65,9.49,8.73,8.73,8.73,8.73,8.73,8.66,8.66,8.66,4.33,4.33,4.33,4.66,4.58	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	11,11,13,13,17,17,17,17,18,17,16,17,17,17,17,16,17	0,0,0,1,1060,1067,1123,1137,1406,1771,1813,1823,1830,1838,2198,2386,2852	0,0,1,14,6,0,0,0,1,3,3,3,18,1,1,1,1	0,0,1,28,6,0,0,0,2,8,6,6,36,2,2,5,1	0,0,44,176,147,0,0,0,23,55,52,52,206,24,4,86,51	442.json
948	16,16,16,16	8.108094916678965E-4,7.661656127311289E-4,8.108094916678965E-4,7.661656127311289E-4	18,18,18,18	6,6,6,6	24,24,24,24	7,7,7,7	2.65,2.65,2.65,2.65	0,0,0,0	18,18,18,18	0,331,454,454	0,1,1,1	0,2,2,2	0,4,4,4	1556.json
3099	3,3,4,4,4,4,4,4	0.021016161888837814,0.021016161888837814,0.005574848968535662,0.005980961490422487,0.005980961490422487,0.005980961490422487,0.005980961490422487,6.388777401298285E-4	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	1.89,1.89,3.32,4.0,4.0,4.0,4.0,2.0	0,0,0,0,0,0,0,0	2,2,4,4,4,4,4,5	0,0,0,1,1067,1123,1137,1916	0,0,1,4,0,0,0,1	0,0,1,8,0,0,0,2	0,0,40,38,0,0,0,74	1455.json
3099	3,3,3,3,3,3,3,3,3	0.9463393688201904,0.9463393688201904,0.946777880191803,0.946777880191803,0.946777880191803,0.7429283261299133,0.8849653601646423,0.7412692308425903,0.8849653601646423	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	1.89,1.89,3.77,3.77,3.77,3.77,1.89,1.89,1.89	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1067,1123,1137,1813,1873,1920,2021	0,0,0,0,0,1,1,1,1	0,0,0,0,0,2,2,2,2	0,0,16,0,0,12,19,3,3	4286.json
