Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2488	8	0.09379883110523224	1	1	2	2	1.94	1	4	0	0	0	0	4925.json
2488	223,232,241,232,241,223,241,250,259,250,250,259,286,277,286,295,304,313,322,331,340,376,394,403,412	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	27,28,29,28,29,27,29,30,31,30,30,31,34,33,34,35,36,37,38,39,40,44,46,47,48	47,49,51,49,51,47,51,53,55,53,53,55,61,59,61,63,65,67,69,71,73,81,85,87,89	74,77,80,77,80,74,80,83,86,83,83,86,95,92,95,98,101,104,107,110,113,125,131,134,137	49,51,53,51,53,49,53,55,57,55,55,57,63,61,63,65,67,69,71,73,75,83,87,89,91	2.26,2.22,2.19,2.22,2.19,2.26,2.19,2.17,2.14,2.17,2.17,2.14,2.06,2.09,2.06,2.04,2.02,2.0,1.98,1.96,1.95,1.88,1.86,1.84,1.83	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	159,166,173,166,173,159,173,180,187,180,180,187,208,201,208,215,222,229,236,243,250,278,292,299,306	0,65,129,161,165,169,193,241,247,268,274,341,614,1011,1026,1136,1142,1258,1459,1496,1628,1648,1696,1771,1863	0,9,9,0,9,13,22,9,9,9,4,9,9,0,9,9,9,9,9,9,9,36,18,9,9	0,9,9,9,9,44,26,9,9,9,8,9,9,9,9,9,9,9,9,9,9,36,18,9,9	0,529,484,529,494,1336,1063,544,529,610,60,464,1542,544,444,464,494,500,479,504,543,1976,996,494,449	4281.json
3048	3	0.06308193504810333	0	0	0	1	1.89	0	0	0	0	0	0	6491.json
2488	3	0.722563624382019	0	0	0	1	0.94	0	1	0	0	0	0	2184.json
2488	1	0.7735556960105896	0	0	0	1	0.0	0	1	0	0	0	0	4913.json
40	3	0.9190999865531921	0	0	0	1	1.89	0	0	0	0	0	0	148.json
1477	9	2.2619006631430238E-4	0	0	0	1	8.87	0	6	0	0	0	0	8739.json
2488	8	0.18051472306251526	1	1	2	2	1.2	1	0	0	0	0	0	5081.json
840	13	0.05421983450651169	0	0	0	1	3.16	0	9	0	0	0	0	11120.json
2488	8	0.0032575088553130627	1	1	2	2	1.56	1	2	0	0	0	0	4428.json
3095	3	0.7616786956787109	0	0	0	1	1.89	0	1	0	0	0	0	8474.json
2488	8	0.18051472306251526	1	1	2	2	1.2	1	0	0	0	0	0	3721.json
2522	7,11	0.0036531921941787004,0.013738509267568588	0,3	0,1	0,4	1,2	3.46,1.5	0,1	3,3	0,34	0,6	0,8	0,93	8365.json
2422	3	0.013380276970565319	0	0	0	1	1.89	0	2	0	0	0	0	731.json
