Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
3996	3,3,3,3,3,3	0.9413757920265198,0.9413757920265198,0.9413757920265198,0.9413757920265198,0.9413757920265198,0.9413757920265198	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0	0,0,0,0,0,0	0,588,943,1296,1504,2078	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	4374.json
1862	3,3,3,3,3	0.34147006273269653,0.34419184923171997,0.34147006273269653,0.24752439558506012,0.23602738976478577	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	0,0,0,0,1	0,219,686,692,1259	0,1,1,2,1	0,2,2,4,2	0,3,3,42,32	431.json
1631	3,3	0.6364874839782715,0.7951503992080688	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,548	0,2	0,4	0,23	3796.json
2553	22,22,22,22,22,22,27,30	1.3899235636927187E-4,1.3899235636927187E-4,1.4141459541860968E-4,1.4141459541860968E-4,1.4141459541860968E-4,1.0297745757270604E-4,0.0,0.0	4,4,4,4,4,4,4,5	3,3,3,3,3,3,3,4	7,7,7,7,7,7,7,9	4,4,4,4,4,4,4,5	7.88,7.88,7.88,7.88,7.88,7.88,8.98,8.64	3,3,3,3,3,3,3,4	6,6,6,6,6,7,7,8	0,0,33,61,635,791,956,1950	0,0,3,0,0,1,14,3	0,0,6,0,0,2,23,3	0,0,24,0,0,29,298,131	3575.json
1436	14	0.8841118216514587	1	2	3	3	9.78	3	1	0	0	0	0	6239.json
2329	3,3,4,4,4	0.6190959811210632,0.6190959811210632,0.3458523750305176,0.3638639748096466,0.3638639748096466	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,4.0,4.0,4.0	0,0,0,0,0	1,1,2,2,2	0,411,981,995,1531	0,0,1,1,0	0,0,1,2,0	0,0,51,9,0	1490.json
166	2,3,5	0.9698950052261353,0.13662667572498322,0.11654529720544815	0,0,0	0,0,0	0,0,0	1,1,2	3.77,3.77,5.99	0,0,1	0,1,1	0,0,104	0,1,3	0,2,4	0,36,51	6364.json
1923	3,3,3,3,3	0.34556883573532104,0.34556883573532104,0.34556883573532104,0.34556883573532104,0.5292207598686218	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	0,0,0,0,0	0,5,246,246,1482	0,0,0,0,2	0,0,0,0,4	0,0,0,0,24	7064.json
483	7	0.005370695143938065	1	1	2	2	5.11	1	2	0	0	0	0	3018.json
1642	10	0.4109063148498535	1	1	2	3	8.16	2	3	0	0	0	0	6424.json
1196	14,13	1.3579922961071134E-4,3.0908454209566116E-4	0,0	0,0	0,0	1,1	2.8,2.89	0,0	10,9	0,113	0,1	0,3	0,32	333.json
602	3	0.36945009231567383	0	0	0	1	3.77	0	0	0	0	0	0	5979.json
3196	6,6,6,6	0.01938340812921524,0.01938340812921524,0.01938340812921524,0.02050117775797844	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	2,2,2,2	0,143,704,1278	0,0,0,0	0,0,0,0	0,0,0,2	2978.json
1841	3,3	0.8168620467185974,0.8168620467185974	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,1	0,0	0,0	0,0	4512.json
355	7	0.39162343740463257	1	1	2	2	6.05	1	2	0	0	0	0	5176.json
