Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
3079	3,3,3,3	0.5766639113426208,0.5668126940727234,0.5777217149734497,0.5777217149734497	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	10.0,10.0,10.0,10.0	3.0,3.0,3.0,3.0	13.0,13.0,13.0,13.0	4.0,4.0,4.0,4.0	13.0,13.0,13.0,13.0	17.0,17.0,17.0,17.0	62.907475,62.907475,62.907475,62.907475	6.666667,6.666667,6.666667,6.666667	419.38318,419.38318,419.38318,419.38318	23.299065,23.299065,23.299065,23.299065	0.020969158,0.020969158,0.020969158,0.020969158	131.43582153320312,131.43582153320312,131.43582153320312,131.43582153320312	0,747,747,1941	0,1,1,0	0,2,2,0	0,11,4,0	776.json
791	13	0.0	0	0	0	1	7.71	1	6	27.0	17.0	79.0	32.0	44.0	111.0	605.9969	25.411764	15399.45	855.525	0.20199896	95.90206909179688	0	0	0	0	696.json
3928	4,4,4,4,3,3,3,3,3,4,4	0.5714971423149109,0.5714971423149109,0.38059723377227783,0.38059723377227783,0.23174989223480225,0.22283801436424255,0.21707533299922943,0.2934167981147766,0.2934167981147766,0.3777187764644623,0.27211716771125793	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	2.0,2.0,2.0,2.0,1.89,1.89,1.89,1.89,1.89,2.0,2.0	0,0,0,0,0,0,0,0,0,0,0	1,1,2,2,3,3,3,3,3,2,3	12.0,12.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0	4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0	16.0,16.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,19.0,21.0	4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0	16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0	20.0,20.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,24.0	80.0,80.0,94.01165,94.01165,98.099106,98.099106,98.099106,98.099106,98.099106,94.01165,98.099106	6.0,6.0,6.5,6.5,7.0,7.0,7.0,7.0,7.0,6.5,7.0	480.0,480.0,611.07574,611.07574,686.6937,686.6937,686.6937,686.6937,686.6937,611.07574,686.6937	26.666666,26.666666,33.948654,33.948654,38.14965,38.14965,38.14965,38.14965,38.14965,33.948654,38.14965	0.026666667,0.026666667,0.031337216,0.031337216,0.0326997,0.0326997,0.0326997,0.0326997,0.0326997,0.031337216,0.0326997	125.5254898071289,125.5254898071289,124.6862564086914,124.6862564086914,129.12539672851562,129.12539672851562,129.12539672851562,129.12539672851562,129.12539672851562,124.6862564086914,124.4649429321289	0,1,1,29,54,408,408,2338,2790,3135,3157	0,0,1,0,1,1,1,1,0,2,1	0,0,2,0,3,2,2,2,0,3,2	0,0,11,0,23,26,18,15,0,23,17	1780.json
3621	3,3,3,3	0.7780521512031555,0.9190999865531921,0.9190999865531921,0.9190999865531921	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,0,0,0	11.0,9.0,9.0,9.0	2.0,2.0,2.0,2.0	13.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0	13.0,11.0,11.0,11.0	15.0,12.0,12.0,12.0	55.506596,41.51318,41.51318,41.51318	5.5,4.5,4.5,4.5	305.2863,186.80931,186.80931,186.80931	16.96035,10.378295,10.378295,10.378295	0.018502198,0.013837727,0.013837727,0.013837727	132.086669921875,133.59722900390625,133.59722900390625,133.59722900390625	0,1289,2483,3013	0,2,0,0	0,4,0,0	0,20,0,0	665.json
357	3	0.8021559119224548	0	0	0	1	1.89	0	2	14.0	2.0	19.0	3.0	16.0	22.0	88.0	10.5	924.0	51.333332	0.029333333	129.69032287597656	0	0	0	0	1314.json
3884	4,4,3,3,3,3,3,3,3,4,4	0.28350189328193665,0.2942230999469757,0.11209715157747269,0.45756062865257263,0.45756062865257263,0.47385042905807495,0.4337083399295807,0.5095396637916565,0.5095396637916565,0.5497970581054688,0.5497970581054688	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	2.0,2.0,1.89,1.89,1.89,1.89,1.89,1.89,1.89,2.0,2.0	0,0,0,0,0,0,0,0,0,0,0	2,2,3,2,2,2,2,2,2,1,1	13.0,17.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0	4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0	18.0,22.0,24.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0	5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0	17.0,21.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0	23.0,27.0,28.0,23.0,23.0,23.0,23.0,23.0,23.0,22.0,22.0	94.01165,118.59257,122.984886,97.70234,97.70234,97.70234,97.70234,97.70234,97.70234,91.73836,91.73836	8.125,10.625,12.0,12.75,12.75,12.75,12.75,12.75,12.75,10.0,10.0	763.84467,1260.046,1475.8186,1245.7048,1245.7048,1245.7048,1245.7048,1245.7048,1245.7048,917.38354,917.38354	42.435814,70.002556,81.98992,69.205826,69.205826,69.205826,69.205826,69.205826,69.205826,50.96575,50.96575	0.031337216,0.039530855,0.04099496,0.032567445,0.032567445,0.032567445,0.032567445,0.032567445,0.032567445,0.030579453,0.030579453	124.6862564086914,123.47842407226562,127.94976043701172,129.14646911621094,129.14646911621094,129.14646911621094,129.14646911621094,129.14646911621094,129.14646911621094,124.81353759765625,124.81353759765625	0,7,9,10,10,42,2733,2733,2746,3091,3116	0,2,2,1,1,1,1,1,0,2,0	0,4,5,2,2,2,2,2,0,3,0	0,31,44,25,10,6,22,26,0,23,0	197.json
3929	3,3,3	0.9535120725631714,0.9535120725631714,0.9535120725631714	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	9.0,9.0,9.0	3.0,3.0,3.0	10.0,10.0,10.0	3.0,3.0,3.0	12.0,12.0,12.0	13.0,13.0,13.0	46.604515,46.604515,46.604515	4.5,4.5,4.5	209.72032,209.72032,209.72032	11.651129,11.651129,11.651129	0.015534839,0.015534839,0.015534839	132.9956512451172,132.9956512451172,132.9956512451172	0,2,2791	0,0,0	0,0,0	0,0,0	1278.json
3928	4,4,4,4,3,3,4	0.40981513261795044,0.40981513261795044,0.2418326437473297,0.2418326437473297,0.48131635785102844,0.48131635785102844,0.6506077647209167	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	2.0,2.0,2.0,2.0,1.89,1.89,2.0	0,0,0,0,0,0,0	1,1,2,2,2,2,1	17.0,17.0,18.0,18.0,18.0,18.0,16.0	4.0,4.0,4.0,4.0,2.0,2.0,3.0	23.0,23.0,26.0,26.0,24.0,24.0,22.0	5.0,5.0,5.0,5.0,3.0,3.0,4.0	21.0,21.0,22.0,22.0,20.0,20.0,19.0	28.0,28.0,31.0,31.0,27.0,27.0,26.0	122.984886,122.984886,138.24239,138.24239,116.692055,116.692055,110.44612	10.625,10.625,11.25,11.25,13.5,13.5,10.666667	1306.7144,1306.7144,1555.2268,1555.2268,1575.3428,1575.3428,1178.092	72.595245,72.595245,86.40149,86.40149,87.51904,87.51904,65.449554	0.04099496,0.04099496,0.046080794,0.046080794,0.03889735,0.03889735,0.036815375	123.28931427001953,123.28931427001953,122.68119049072266,122.68119049072266,128.22288513183594,128.22288513183594,123.8484878540039	0,1,1,29,54,2790,3135	0,0,1,0,1,0,2	0,0,2,0,3,0,3	0,0,11,0,37,0,23	1744.json
160	12,14,14,14,14	0.25164929032325745,0.042388394474983215,0.042388394474983215,0.03368597477674484,0.03368597477674484	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	2,2,2,2,2	4.65,4.65,4.65,4.65,4.65	1,1,1,1,1	1,1,1,1,1	17.0,17.0,17.0,17.0,17.0	5.0,5.0,5.0,5.0,5.0	31.0,33.0,33.0,34.0,34.0	18.0,22.0,22.0,23.0,23.0	22.0,22.0,22.0,22.0,22.0	49.0,55.0,55.0,57.0,57.0	218.51215,245.26874,245.26874,254.1876,254.1876	30.599998,37.4,37.4,39.1,39.1	6686.471,9173.051,9173.051,9938.735,9938.735	371.4706,509.61392,509.61392,552.152,552.152	0.07283738,0.08175625,0.08175625,0.0847292,0.0847292	102.27293395996094,99.1750259399414,99.1750259399414,98.98929595947266,98.98929595947266	0,0,0,0,0	0,8,0,1,0	0,14,0,2,0	0,366,0,6,0	891.json
2217	3,3,3,3,3	0.5750333666801453,0.6695929169654846,0.6695929169654846,0.6695929169654846,0.430111825466156	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	1,0,0,0,0	10.0,9.0,9.0,9.0,11.0	2.0,2.0,2.0,2.0,2.0	13.0,10.0,10.0,10.0,12.0	2.0,2.0,2.0,2.0,3.0	12.0,11.0,11.0,11.0,13.0	15.0,12.0,12.0,12.0,15.0	53.77444,41.51318,41.51318,41.51318,55.506596	5.0,4.5,4.5,4.5,8.25	268.8722,186.80931,186.80931,186.80931,457.9294	14.937344,10.378295,10.378295,10.378295,25.440523	0.017924814,0.013837727,0.013837727,0.013837727,0.018502198	132.25152587890625,133.59722900390625,133.59722900390625,133.59722900390625,132.086669921875	0,0,8,1079,1488	0,3,0,0,1	0,6,0,0,2	0,42,0,0,3	1522.json
791	13	5.975839449092746E-4	0	0	0	1	7.28	1	5	27.0	15.0	73.0	24.0	42.0	97.0	523.05475	21.6	11297.982	627.6657	0.17435159	96.66744995117188	0	0	0	0	694.json
3686	4,4,4	0.736799418926239,0.73810875415802,0.73810875415802	0,0,0	0,0,0	0,0,0	1,1,1	2.0,2.0,2.0	0,0,0	1,1,1	13.0,13.0,13.0	3.0,3.0,3.0	16.0,16.0,16.0	4.0,4.0,4.0	16.0,16.0,16.0	20.0,20.0,20.0	80.0,80.0,80.0	8.666667,8.666667,8.666667	693.3334,693.3334,693.3334	38.51852,38.51852,38.51852	0.026666667,0.026666667,0.026666667	125.5254898071289,125.5254898071289,125.5254898071289	0,0,2548	0,1,0	0,2,0	0,3,0	619.json
3425	8,9,9,10,10,10,10,10,10,10	0.4655022919178009,0.33481714129447937,0.2857484817504883,0.13645049929618835,0.12639184296131134,0.1251044124364853,0.1257467120885849,0.12413845211267471,0.12884680926799774,0.12884680926799774	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	5.29,5.14,5.14,5.0,5.0,5.0,5.0,5.06,5.06,5.06	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	15.0,15.0,14.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0	4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0	26.0,27.0,25.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0	11.0,13.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0	19.0,19.0,18.0,20.0,20.0,20.0,21.0,21.0,22.0,22.0	37.0,40.0,34.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0	157.17332,169.91711,141.77745,168.55519,168.55519,168.55519,171.30037,171.30037,178.37726,178.37726	20.625,24.375,15.75,16.5,16.5,16.5,17.6,17.6,18.7,18.7	3241.6997,4141.7295,2232.9949,2781.1606,2781.1606,2781.1606,3014.8865,3014.8865,3335.6548,3335.6548	180.09442,230.09608,124.05527,154.50893,154.50893,154.50893,167.4937,167.4937,185.31415,185.31415	0.052391108,0.056639038,0.047259152,0.056185063,0.056185063,0.056185063,0.057100125,0.057100125,0.059459087,0.059459087	110.78482818603516,108.47134399414062,109.4128189086914,106.80635070800781,106.80635070800781,106.80635070800781,106.72234344482422,106.72234344482422,106.5118408203125,106.5118408203125	0,0,12,581,583,1093,1093,2287,2626,2657	0,4,2,2,3,2,1,0,2,0	0,7,4,3,6,4,2,0,4,0	0,24,22,33,70,8,4,8,26,0	1072.json
601	3,3,7,3	0.09509256482124329,0.3572079539299011,0.35795459151268005,0.3705739676952362	0,0,1,0	0,0,1,0	0,0,2,0	1,1,2,1	1.89,1.89,3.02,1.89	0,0,1,0	0,0,0,0	17.0,17.0,20.0,17.0	7.0,8.0,8.0,8.0	24.0,27.0,42.0,27.0	7.0,12.0,17.0,12.0	24.0,25.0,28.0,25.0	31.0,39.0,59.0,39.0	142.13383,181.11038,283.63394,181.11038	8.5,12.75,21.25,12.75	1208.1376,2309.1575,6027.221,2309.1575	67.11875,128.28653,334.8456,128.28653	0.047377944,0.06037013,0.09454465,0.06037013	127.19728088378906,125.93712615966797,109.6482925415039,125.93712615966797	0,420,420,420	0,3,5,1	0,6,6,6	0,62,241,242	479.json
2793	3,3,3	0.02079421654343605,0.02079421654343605,6.191051215864718E-4	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	17.0,17.0,18.0	6.0,6.0,7.0	28.0,28.0,35.0	8.0,8.0,11.0	23.0,23.0,25.0	36.0,36.0,46.0	162.84824,162.84824,213.61737	11.333334,11.333334,14.142857	1845.6134,1845.6134,3021.16	102.53408,102.53408,167.84222	0.054282747,0.054282747,0.07120579	126.48982238769531,126.48982238769531,125.0787124633789	0,1655,1675	0,0,2	0,0,4	0,0,63	1806.json
639	3	0.5892819166183472	0	0	0	1	1.89	0	1	11.0	3.0	14.0	4.0	14.0	18.0	68.53239	7.3333335	502.57086	27.920603	0.022844128	130.99049377441406	0	0	0	0	94.json
3856	3,3	0.6359678506851196,0.6359678506851196	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	11.0,11.0	2.0,2.0	12.0,12.0	2.0,2.0	13.0,13.0	14.0,14.0	51.806156,51.806156	5.5,5.5	284.93387,284.93387	15.829659,15.829659	0.01726872,0.01726872	132.4454345703125,132.4454345703125	0,2718	0,0	0,0	0,0	1251.json
962	3,4	0.5298723578453064,0.7154189944267273	0,0	0,0	0,0	1,1	1.89,2.0	0,0	2,1	17.0,15.0	2.0,3.0	20.0,18.0	3.0,4.0	19.0,18.0	23.0,22.0	97.70234,91.73836	12.75,10.0	1245.7048,917.38354	69.205826,50.96575	0.032567445,0.030579453	129.14646911621094,124.81353759765625	0,169	0,2	0,3	0,21	20.json
