Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
3375	3,3	0.7375631332397461,0.7375631332397461	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,6	0,0	0,0	0,0	296.json
2396	13,13	0.06902463734149933,0.07107459008693695	2,2	2,2	4,4	3,3	4.11,4.11	2,2	2,2	0,1578	0,1	0,2	0,7	753.json
4280	15,15,15,15,15,15	0.16234807670116425,0.16234807670116425,0.16894905269145966,0.15654250979423523,0.13507217168807983,0.13890080153942108	2,2,2,2,2,2	2,2,2,2,2,2	4,4,4,4,4,4	5,5,5,5,5,5	2.34,2.34,2.34,2.34,2.34,2.34	2,2,2,2,2,2	10,10,10,10,10,10	0,911,919,920,921,1699	0,0,2,2,1,3	0,0,4,4,2,6	0,0,12,20,16,18	578.json
5997	11,11,10,10	0.003216103883460164,0.0035823993384838104,0.0028181744273751974,0.002546219155192375	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.78,1.78,1.6,1.6	0,0,0,0	0,0,0,0	0,157,2628,3416	0,1,0,1	0,2,0,2	0,18,6,18	115.json
5244	8,9,9,9,9,9,9,5,5	0.27148619294166565,0.23454943299293518,0.24730800092220306,0.18047034740447998,0.18047034740447998,0.14487744867801666,0.13729824125766754,0.1806880682706833,0.16105502843856812	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	2.83,2.95,2.95,2.95,2.95,2.95,2.95,2.99,2.99	1,1,1,1,1,1,1,1,1	2,2,3,3,3,4,4,3,3	0,142,500,933,1875,2418,2663,3916,5241	0,2,1,1,0,2,1,1,2	0,3,2,2,0,4,2,6,4	0,50,8,8,0,26,12,103,16	1134.json
139	3	0.1355135440826416	0	0	0	1	1.89	0	0	0	0	0	0	797.json
4826	3,3,3,3	0.023710541427135468,0.023710541427135468,0.023710541427135468,0.02561393566429615	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,4,1457,2245	0,0,0,1	0,0,0,2	0,0,0,6	327.json
138	3	0.8996574878692627	0	0	0	1	1.89	0	0	0	0	0	0	381.json
5421	15,16,16,16,18,18,18,18,18,18,18	0.2134072631597519,0.24190500378608704,0.291207492351532,0.10487616062164307,0.02030053175985813,0.0037266446743160486,0.0037266446743160486,0.003312266431748867,0.00326430331915617,0.003440606640651822,0.0036047163885086775	2,2,2,3,3,3,3,3,3,3,3	5,4,4,5,6,6,6,6,6,6,6	7,6,6,8,9,9,9,9,9,9,9	6,6,6,7,8,8,8,8,8,8,8	3.99,4.23,4.23,4.23,4.12,4.12,4.12,4.12,4.12,4.12,4.12	2,2,2,2,2,2,2,2,2,2,2	3,2,2,3,4,4,4,4,4,4,4	0,187,217,377,550,2046,2051,2393,2583,2840,3389	0,5,3,3,3,4,0,1,1,1,1	0,9,6,6,4,8,0,2,2,2,2	0,63,22,55,90,50,0,16,2,24,5	489.json
5997	5,5,5,5	0.26547539234161377,0.2473672777414322,0.23480957746505737,0.2523065209388733	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.96,1.96,1.96,1.96	0,0,0,0	2,2,2,2	0,157,2628,3416	0,1,0,1	0,2,0,2	0,12,2,12	131.json
