Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
652	6,6	0.7617570757865906,0.776620090007782	4,4	2,2	6,6	2,2	2.75,2.75	1,1	1,1	22.0,23.0	6.0,6.0	29.0,31.0	8.0,8.0	28.0,29.0	37.0,39.0	177.87213,189.46127	14.666667,15.333334	2608.7913,2905.073	144.93285,161.39294	0.05929071,0.06315376	114.57196044921875,114.24373626708984	0,586	0,1	0,2	0,15	2184.json
4367	24,24,24,24,22,22,22	0.003029918298125267,0.0024712791200727224,0.0024712791200727224,0.0024712791200727224,0.007526224013417959,0.0075922152027487755,0.007582325953990221	6,6,6,6,6,6,6	6,6,6,6,6,6,6	12,12,12,12,12,12,12	5,5,5,5,5,5,5	3.95,3.95,3.95,3.95,3.71,3.71,3.71	2,2,2,2,2,2,2	6,6,6,6,6,6,6	29.0,32.0,32.0,32.0,32.0,33.0,33.0	7.0,7.0,7.0,7.0,7.0,7.0,7.0	69.0,75.0,75.0,75.0,75.0,76.0,76.0	23.0,23.0,23.0,23.0,23.0,23.0,23.0	36.0,39.0,39.0,39.0,39.0,40.0,40.0	92.0,98.0,98.0,98.0,98.0,99.0,99.0	475.63312,517.9694,517.9694,517.9694,517.9694,526.87085,526.87085	47.64286,52.57143,52.57143,52.57143,52.57143,54.214287,54.214287	22660.521,27230.393,27230.393,27230.393,27230.393,28563.928,28563.928	1258.9178,1512.7996,1512.7996,1512.7996,1512.7996,1586.8849,1586.8849	0.15854438,0.17265648,0.17265648,0.17265648,0.17265648,0.17562361,0.17562361	86.30936431884766,85.865966796875,85.865966796875,85.865966796875,87.27555084228516,87.18694305419922,87.18694305419922	0,313,583,606,929,1721,2909	0,2,0,0,3,1,1	0,4,0,0,6,2,2	0,6,0,0,48,6,1	148.json
3287	16,16,16,16,16,16	0.0,0.0,0.0,0.0,0.0,0.0	5,5,5,5,5,5	4,4,4,4,4,4	9,9,9,9,9,9	4,4,4,4,4,4	3.0,3.0,3.0,3.0,3.0,3.0	1,1,1,1,1,1	12,12,12,13,13,13	39.0,39.0,39.0,40.0,41.0,41.0	18.0,20.0,20.0,21.0,21.0,21.0	113.0,114.0,114.0,117.0,124.0,127.0	45.0,45.0,45.0,46.0,46.0,46.0	57.0,59.0,59.0,61.0,62.0,62.0	158.0,159.0,159.0,163.0,170.0,173.0	921.5966,935.3403,935.3403,966.7102,1012.2134,1030.0759	48.75,43.875,43.875,43.809525,44.904762,44.904762	44927.836,41038.055,41038.055,42351.113,45453.2,46255.316	2495.991,2279.8918,2279.8918,2352.8396,2525.1777,2569.7397	0.30719888,0.3117801,0.3117801,0.32223675,0.33740446,0.34335864	89.66830444335938,89.5913314819336,89.5913314819336,89.41979217529297,89.18061065673828,89.08964538574219	0,1,1,45,641,641	0,1,0,1,2,3	0,2,0,2,4,6	0,17,0,17,42,18	731.json
2101	12,12,19,19,19,19,19,19	0.007803134620189667,0.008184941485524178,0.003106243908405304,0.0045117964036762714,0.003106243908405304,3.7331233033910394E-4,4.822133923880756E-4,4.5331617002375424E-4	2,2,4,4,4,4,4,4	1,1,3,3,3,3,3,3	3,3,7,7,7,7,7,7	3,3,6,6,6,6,6,6	3.2,3.2,15.78,15.78,15.78,15.78,15.78,15.78	2,2,3,3,3,3,3,3	5,5,8,8,8,8,8,8	30.0,31.0,35.0,35.0,35.0,35.0,35.0,36.0	11.0,11.0,16.0,15.0,16.0,16.0,16.0,16.0	78.0,75.0,122.0,121.0,122.0,126.0,122.0,121.0	22.0,22.0,33.0,32.0,33.0,33.0,33.0,33.0	41.0,42.0,51.0,50.0,51.0,51.0,51.0,52.0	100.0,97.0,155.0,153.0,155.0,159.0,155.0,154.0	535.7552,523.05475,879.2259,863.50995,879.2259,901.9156,879.2259,877.86774	30.0,31.0,36.09375,37.333336,36.09375,36.09375,36.09375,37.125	16072.655,16214.697,31734.559,32237.707,31734.559,32553.516,31734.559,32590.84	892.9253,900.8165,1763.031,1790.9838,1763.031,1808.5287,1763.031,1810.6022	0.17858507,0.17435159,0.2930753,0.28783664,0.2930753,0.30063853,0.2930753,0.29262257	97.37938690185547,97.50414276123047,86.6690673828125,86.76286315917969,86.6690673828125,86.53658294677734,86.6690673828125,86.67710876464844	0,826,1006,1006,1006,1188,1496,2056	0,1,13,1,1,3,1,1	0,2,18,2,2,6,2,2	0,6,464,3,3,24,8,14	183.json
222	3	0.6822968125343323	1	1	2	2	1.89	0	1	16.0	5.0	20.0	7.0	21.0	27.0	118.59257	11.2	1328.2367	73.790924	0.039530855	127.90887451171875	0	0	0	0	1808.json
1876	5,5	0.2653660774230957,0.2568957805633545	1,1	1,1	2,2	2,2	1.96,1.96	0,0	3,3	25.0,25.0	8.0,8.0	44.0,42.0	17.0,17.0	33.0,33.0	61.0,59.0	307.70804,297.61923	26.5625,26.5625	8173.4946,7905.5107	454.08304,439.19504	0.10256935,0.09920641	114.67552185058594,114.84886932373047	0,567	0,1	0,2	0,2	1926.json
5363	3,3,3,12,12,12	0.002743627643212676,0.002743627643212676,0.002743627643212676,0.03218553215265274,0.030487312003970146,0.02938747964799404	0,0,0,5,5,5	1,1,1,3,3,3	1,1,1,8,8,8	2,2,2,4,4,4	1.89,1.89,1.89,3.32,3.32,3.32	0,0,0,2,2,2	0,0,0,0,0,0	16.0,16.0,16.0,22.0,23.0,23.0	7.0,7.0,7.0,9.0,9.0,9.0	22.0,22.0,22.0,52.0,55.0,56.0	8.0,8.0,8.0,23.0,23.0,23.0	23.0,23.0,23.0,31.0,32.0,32.0	30.0,30.0,30.0,75.0,78.0,79.0	135.70686,135.70686,135.70686,371.56473,390.0,395.0	9.142858,9.142858,9.142858,28.11111,29.38889,29.38889	1240.7485,1240.7485,1240.7485,10445.098,11461.667,11608.611	68.93047,68.93047,68.93047,580.2832,636.7593,644.92285	0.045235623,0.045235623,0.045235623,0.12385491,0.13,0.13166666	127.20789337158203,127.20789337158203,127.20789337158203,99.05235290527344,98.80055236816406,98.73430633544922	0,1579,1602,2627,2717,2717	0,0,0,10,1,1	0,0,0,11,2,2	0,0,0,271,18,6	415.json
3948	1,1,1	0.14829197525978088,0.14829197525978088,0.14829197525978088	0,0,0	0,0,0	0,0,0	1,1,1	0.0,0.0,0.0	0,0,0	1,1,1	13.0,13.0,13.0	2.0,2.0,2.0	15.0,15.0,15.0	2.0,2.0,2.0	15.0,15.0,15.0	17.0,17.0,17.0	66.41714,66.41714,66.41714	6.5,6.5,6.5	431.7114,431.7114,431.7114	23.983967,23.983967,23.983967	0.022139046,0.022139046,0.022139046	148.95103454589844,148.95103454589844,148.95103454589844	0,164,187	0,0,0	0,0,0	0,0,0	431.json
3759	3	0.9289069771766663	0	0	0	1	1.89	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	0	1490.json
923	3	0.9686225056648254	0	0	0	1	1.89	0	0	10.0	6.0	12.0	8.0	16.0	20.0	80.0	6.666667	533.3334	29.629631	0.026666667	130.18594360351562	0	0	0	0	3018.json
6092	3,3,3,3	0.2664269506931305,0.2664269506931305,0.2664269506931305,0.2821829617023468	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	12.0,12.0,12.0,13.0	2.0,2.0,2.0,2.0	13.0,13.0,13.0,14.0	4.0,4.0,4.0,4.0	14.0,14.0,14.0,15.0	17.0,17.0,17.0,18.0	64.72504,64.72504,64.72504,70.32403	12.0,12.0,12.0,13.0	776.70044,776.70044,776.70044,914.21234	43.150024,43.150024,43.150024,50.789574	0.021575011,0.021575011,0.021575011,0.023441343	131.28770446777344,131.28770446777344,131.28770446777344,130.85629272460938	0,2308,2331,3446	0,0,0,1	0,0,0,2	0,0,0,6	1044.json
1418	5,5	0.8119117021560669,0.8103541731834412	0,0	0,0	0,0	1,1	1.96,1.96	0,0	1,1	16.0,16.0	4.0,4.0	22.0,23.0	6.0,6.0	20.0,20.0	28.0,29.0	121.013985,125.335915	12.0,12.0	1452.1678,1504.031	80.675995,83.55728	0.040337995,0.04177864	119.75839233398438,119.57592010498047	0,143	0,1	0,2	0,6	333.json
5766	3,3,3,3,3,3	0.7495126128196716,0.7385154962539673,0.7721578478813171,0.7721578478813171,0.7721578478813171,0.7759182453155518	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0	0,0,0,0,0,0	12.0,12.0,11.0,11.0,11.0,12.0	2.0,2.0,3.0,3.0,3.0,3.0	14.0,13.0,12.0,12.0,12.0,13.0	4.0,4.0,5.0,5.0,5.0,5.0	14.0,14.0,14.0,14.0,14.0,15.0	18.0,17.0,17.0,17.0,17.0,18.0	68.53239,64.72504,64.72504,64.72504,64.72504,70.32403	12.0,12.0,9.166666,9.166666,9.166666,10.0	822.3887,776.70044,593.3128,593.3128,593.3128,703.2403	45.68826,43.150024,32.961823,32.961823,32.961823,39.068905	0.022844128,0.021575011,0.021575011,0.021575011,0.021575011,0.023441343	130.99049377441406,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344,130.85629272460938	0,56,1813,1982,2005,3120	0,1,1,0,0,1	0,2,2,0,0,2	0,1,6,0,0,6	284.json
923	15,15	0.17326854169368744,0.18193961679935455	6,6	5,5	11,11	4,4	3.2,3.2	2,2	10,10	28.0,29.0	13.0,13.0	76.0,80.0	25.0,25.0	41.0,42.0	101.0,105.0	541.11273,566.1933	26.923077,27.884615	14568.42,15788.082	809.3567,877.11566	0.18037091,0.1887311	93.48271942138672,93.24712371826172	0,10	0,4	0,8	0,24	2978.json
3331	3,3,3,3	0.9367530345916748,0.9316798448562622,0.9316798448562622,0.9365500807762146	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	10.0,10.0,10.0,11.0	3.0,3.0,3.0,3.0	13.0,13.0,13.0,14.0	4.0,4.0,4.0,4.0	13.0,13.0,13.0,14.0	17.0,17.0,17.0,18.0	62.907475,62.907475,62.907475,68.53239	6.666667,6.666667,6.666667,7.3333335	419.38318,419.38318,419.38318,502.57086	23.299065,23.299065,23.299065,27.920603	0.020969158,0.020969158,0.020969158,0.022844128	131.43582153320312,131.43582153320312,131.43582153320312,130.99049377441406	0,11,35,686	0,1,0,1	0,2,0,2	0,4,0,6	2514.json
110	3,3,3	0.7225587964057922,0.7225587964057922,0.7268481850624084	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	12.0,12.0,13.0	5.0,5.0,5.0	14.0,14.0,15.0	6.0,6.0,6.0	17.0,17.0,18.0	20.0,20.0,21.0	81.74926,81.74926,87.56843	7.2000003,7.2000003,7.8	588.59467,588.59467,683.03375	32.699703,32.699703,37.94632	0.027249753,0.027249753,0.029189477	130.07347106933594,130.07347106933594,129.7158966064453	0,0,1	0,0,1	0,0,2	0,0,6	2605.json
