Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
981	7,7,7	0.5948963165283203,0.5779892206192017,0.5779892206192017	1,2,2	1,1,1	2,3,3	2,2,2	5.11,5.11,5.11	1,1,1	2,2,2	0,32,131	0,7,0	0,14,0	0,99,0	6184.json
2208	3,3	0.313175767660141,0.313175767660141	0,0	0,0	0,0	1,1	3.77,3.77	0,0	1,1	0,1357	0,0	0,0	0,0	8920.json
1242	18,18	9.088824153877795E-4,9.088824153877795E-4	3,3	2,2	5,5	3,3	4.81,4.81	1,1	12,12	0,392	0,0	0,0	0,0	1361.json
2018	3,3,3,3	0.6510435938835144,0.6510435938835144,0.6510435938835144,0.6510435938835144	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	0,55,962,1168	0,3,0,0	0,3,0,0	0,0,0,0	5426.json
1677	6,6,6,6,6	0.07241976261138916,0.07241976261138916,0.07241976261138916,0.07241976261138916,0.07241976261138916	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	2,2,2,2,2	5.5,5.5,5.5,5.5,5.5	1,1,1,1,1	2,2,2,2,2	0,665,665,665,827	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	4966.json
1664	3,3	0.6244064569473267,0.6244064569473267	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,814	0,0	0,0	0,0	11116.json
2194	3,3,3,3	0.3219902515411377,0.31738248467445374,0.31738248467445374,0.31738248467445374	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	0,0,622,1343	0,1,0,0	0,2,0,0	0,6,0,0	8983.json
213	3	0.5677388906478882	0	0	0	1	3.77	0	1	0	0	0	0	7131.json
977	4,4,4	0.09518670290708542,0.10724657028913498,0.10724657028913498	0,0,0	0,0,0	0,0,0	1,1,1	9.8,9.8,9.8	0,0,0	3,3,3	0,3,127	0,1,0	0,2,0	0,9,0	3131.json
51	9,9	0.03083205595612526,0.021852200850844383	1,1	1,1	2,2	2,2	6.29,6.29	1,1	5,5	0,1	0,1	0,2	0,26	7193.json
1689	7,7	0.05721616744995117,0.05721616744995117	1,1	1,1	2,2	2,2	5.11,5.11	1,1	4,4	0,839	0,0	0,0	0,0	325.json
2194	7,8,10,10,10,10	0.09222673624753952,0.2924973964691162,0.1681901514530182,0.27916669845581055,0.27916669845581055,0.27916669845581055	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2,2,2,2,2,2	6.66,6.53,5.77,5.57,5.57,5.57	1,1,1,1,1,1	3,3,7,7,7,7	0,119,148,350,622,1343	0,2,3,4,0,0	0,2,3,7,0,0	0,53,157,79,0,0	9011.json
2208	10,10,10	0.16043223440647125,0.16043223440647125,0.16043223440647125	5,5,5	3,3,3	8,8,8	3,3,3	9.6,9.6,9.6	2,2,2	4,4,4	0,19,1357	0,0,0	0,0,0	0,0,12	8966.json
2193	3,3	0.976971447467804,0.9685534834861755	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,1342	0,0	0,0	0,12	8757.json
