Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1613	28,28,28,28,28,62,62	0.002531918464228511,0.0026266754139214754,0.0029658719431608915,0.002979036420583725,0.002979036420583725,0.0,0.0	5,5,5,5,5,10,10	3,3,3,3,3,12,12	8,8,8,8,8,22,22	7,7,7,7,7,14,14	5.06,5.06,5.06,5.06,5.06,7.81,7.81	4,4,4,4,4,7,7	7,7,7,7,7,44,44	0,142,164,413,1288,1402,1420	0,4,2,1,0,57,1	0,8,4,2,0,85,2	0,24,23,20,0,2239,18	6852.json
1036	4,4,4,4	0.005483920685946941,0.005483920685946941,0.005638486705720425,0.006817587651312351	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	2.0,2.0,2.0,2.0	0,0,0,0	2,2,2,2	0,711,834,841	0,0,1,2	0,0,2,4	0,0,6,10	8492.json
1777	3,13,15,7,7,7	0.7233115434646606,0.649317741394043,0.5650381445884705,0.6054243445396423,0.5754472017288208,0.5754472017288208	0,2,3,1,1,1	0,2,3,1,1,1	0,4,6,2,2,2	1,4,5,2,2,2	1.89,2.65,3.16,3.02,3.02,3.02	0,1,2,1,1,1	1,4,5,3,3,3	0,207,367,370,1076,1452	0,13,4,5,1,0	0,15,6,19,2,0	0,318,76,288,8,0	654.json
1749	79,79,79,79,79,79,95,95,95,115,115,115,115,115,96	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	12,12,12,12,12,12,12,12,12,13,13,13,13,13,12	17,17,17,17,17,17,23,23,23,25,25,25,25,25,20	29,29,29,29,29,29,35,35,35,38,38,38,38,38,32	20,20,20,20,20,20,25,25,25,28,28,28,28,28,23	5.83,5.83,5.83,5.83,5.83,5.83,6.08,6.08,5.91,7.24,7.24,7.24,7.24,7.24,7.26	6,6,6,6,6,6,5,5,5,6,6,6,6,6,6	16,19,19,19,19,19,24,24,24,30,30,27,27,27,22	0,135,179,278,281,319,336,358,390,905,1048,1413,1424,1436,1604	0,5,1,5,0,1,44,1,12,70,2,3,0,1,0	0,10,2,10,0,2,71,2,24,119,4,6,0,2,19	0,42,8,163,0,9,1038,201,269,1175,15,66,0,12,888	4054.json
1753	3,3,3,3,3	0.44604063034057617,0.46782830357551575,0.6891524791717529,0.6891524791717529,0.6891524791717529	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	1,1,1,1,1	0,139,291,746,1428	0,1,1,0,0	0,2,2,0,0	0,7,18,0,0	414.json
1403	3,3	0.8014312982559204,0.8209328651428223	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,1078	0,1	0,2	0,23	4937.json
1749	7,7,7,7,7	0.1271185576915741,0.12039867043495178,0.12039867043495178,0.11460033804178238,0.11460033804178238	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	2,2,2,2,2	2.56,2.56,2.56,2.56,2.56	1,1,1,1,1	4,4,4,4,4	0,179,281,1048,1424	0,1,0,1,0	0,2,0,2,0	0,3,0,8,0	4095.json
1749	3,3,3,3,3,3	0.06962007284164429,0.06962007284164429,0.06962007284164429,0.06280723959207535,0.06280723959207535,0.06280723959207535	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0	1,1,1,1,1,1	0,179,275,358,1048,1424	0,0,0,1,2,0	0,0,0,2,4,0	0,0,0,11,2,0	4923.json
1749	10,10,10,10,10,10,10,10,10,10,10	0.01790717989206314,0.0065268175676465034,0.006483163684606552,0.007156383246183395,0.006307447794824839,0.004750005900859833,0.004771463107317686,0.0044173323549330235,0.004970650188624859,0.00494640925899148,0.005124331451952457	1,1,1,1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2,2,2,2	3,3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,3,3,3,3	2.53,2.53,3.6,3.6,3.6,2.53,2.53,2.53,2.53,2.53,2.53	2,2,2,2,2,1,1,1,1,1,1	4,4,4,3,3,4,4,4,4,4,4	0,135,179,273,336,337,337,1424,1547,1554,1555	0,2,5,1,1,5,6,2,1,1,1	0,4,10,2,2,10,12,4,2,2,2	0,19,33,23,6,43,35,12,6,1,9	6992.json
1417	3,3	0.41974160075187683,0.41974160075187683	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,1092	0,0	0,0	0,0	1089.json
1749	5,5,5,5,5,5,5,23,24,28,28,28,28	0.05210628733038902,0.017056135460734367,0.01654406450688839,0.01911010965704918,0.01911010965704918,0.016948513686656952,0.014526399783790112,0.2994600832462311,0.20220670104026794,0.08967569470405579,0.08967569470405579,0.08967569470405579,0.10228476673364639	0,0,0,0,0,0,0,2,4,6,6,6,6	0,0,0,0,0,0,0,3,4,6,6,6,6	0,0,0,0,0,0,0,5,8,12,12,12,12	1,1,1,1,1,1,1,5,6,7,7,7,7	1.96,1.96,1.96,1.96,1.96,1.96,1.96,6.56,6.46,6.34,6.34,6.34,6.34	0,0,0,0,0,0,0,5,5,5,5,5,5	2,2,2,2,2,2,2,4,4,5,5,5,5	0,135,179,272,281,320,358,390,482,897,1366,1424,1557	0,1,1,1,0,1,1,22,3,7,2,0,1	0,2,2,2,0,2,2,25,5,11,4,0,2	0,4,3,10,0,7,10,658,33,221,16,0,4	4175.json
700	3,3,3,3,3	0.0,0.0,0.0,0.0,0.0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	3,3,3,3,3	0,375,387,506,521	0,0,1,1,2	0,0,2,2,4	0,0,12,9,16	6974.json
768	18,18,18	0.02874317206442356,0.02874317206442356,0.03041519969701767	2,2,2	2,2,2	4,4,4	3,3,3	3.98,3.98,3.98	2,2,2	10,10,10	0,443,576	0,0,2	0,0,4	0,0,34	393.json
192	3	0.21289411187171936	0	0	0	1	1.89	0	1	0	0	0	0	7415.json
1396	5,5,5,5,5	0.46649169921875,0.4858260750770569,0.2491024285554886,0.262141615152359,0.262141615152359	3,3,4,4,4	1,1,1,1,1	4,4,5,5,5	2,2,2,2,2	2.99,2.99,2.99,2.99,2.99	1,1,1,1,1	2,2,3,3,3	0,204,223,695,1071	0,1,1,2,0	0,2,2,4,0	0,9,21,9,0	6823.json
1264	12,13,13,13,13,13	3.4516534651629627E-4,1.9413663540035486E-4,1.9402122416067868E-4,1.9402122416067868E-4,1.9289036572445184E-4,1.8833619833458215E-4	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	4.71,4.75,4.75,4.75,4.75,4.75	0,0,0,0,0,0	4,6,6,6,6,6	0,15,60,939,1063,1071	0,3,1,0,1,1	0,5,2,0,2,2	0,97,9,0,6,1	8558.json
1454	3,3,3,3,3,3	0.2610347867012024,0.24032916128635406,0.21542711555957794,0.20984430611133575,0.16297748684883118,0.11794458329677582	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0	1,1,1,1,1,1	0,25,91,753,1129,1262	0,1,1,1,1,1	0,2,2,2,2,2	0,5,12,8,14,1	5425.json
1776	18,18,18,18,18,18,18,5,5,5	0.22099414467811584,0.18397997319698334,0.20879606902599335,0.20879606902599335,0.20879606902599335,0.15631459653377533,0.15631459653377533,0.2702566981315613,0.2935955226421356,0.2935955226421356	3,3,3,3,3,3,3,3,3,3	3,3,3,3,3,3,3,1,1,1	6,6,6,6,6,6,6,4,4,4	5,5,5,5,5,5,5,2,2,2	3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.99,2.99,2.99	2,2,2,2,2,2,2,1,1,1	5,5,6,6,6,6,6,2,2,2	0,12,162,206,300,302,385,544,1075,1451	0,1,2,0,0,1,0,2,2,0	0,2,4,0,0,2,0,17,4,0	0,52,24,0,0,25,0,399,17,0	5836.json
1332	7,7,7	0.884459376335144,0.8784343600273132,0.8784343600273132	1,1,1	1,1,1	2,2,2	2,2,2	2.56,2.56,2.56	1,1,1	2,2,2	0,949,1007	0,1,0	0,2,0	0,9,0	1424.json
1417	15,15,15,5,5	0.6036751866340637,0.6054056882858276,0.21604178845882416,0.7464930415153503,0.7464930415153503	4,4,4,2,2	4,4,4,1,1	8,8,8,3,3	4,4,4,2,2	2.72,2.72,2.72,2.99,2.99	1,1,1,1,1	5,5,5,2,2	0,18,34,270,1092	0,1,1,1,0	0,2,2,12,0	0,7,86,399,0	4954.json
1771	8,8,8,7,7,7	0.8957313895225525,0.7759768962860107,0.940143346786499,0.9181698560714722,0.9181698560714722,0.9181698560714722	1,1,1,1,1,1	1,1,1,1,1,1	2,2,2,2,2,2	2,2,2,2,2,2	2.4,2.4,2.4,2.56,2.56,2.56	1,1,1,1,1,1	2,2,2,1,1,1	0,0,6,201,295,1446	0,1,1,1,0,0	0,2,2,3,0,0	0,16,19,35,0,0	4448.json
162	4	0.5538648962974548	0	0	0	1	2.0	0	1	0	0	0	0	1887.json
1749	3,3,3,3,3,3	0.0017344063380733132,0.0013852565316483378,0.001184946158900857,0.005428920034319162,0.005428920034319162,0.006328616291284561	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0	2,3,3,3,3,3	0,135,179,316,1424,1554	0,1,1,1,0,1	0,2,2,2,0,2	0,30,20,21,0,9	7709.json
1749	3,3,3,3	0.6565344333648682,0.9314548969268799,0.9314548969268799,0.9314548969268799	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,179,273,1424	0,3,0,0	0,6,0,0	0,27,0,0	2073.json
1418	3,3,3,4	0.6517750024795532,0.6335793137550354,0.6517750024795532,0.7010606527328491	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,2.0	0,0,0,0	1,1,1,2	0,334,1093,1098	0,1,1,1	0,2,2,1	0,7,7,83	2807.json
