Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
544	3	0.8686346411705017	0	0	0	1	3.77	0	0	0	0	0	0	403.json
1263	9,9,11,11	0.09152665734291077,0.09180484712123871,0.11949317157268524,0.01711566001176834	2,2,2,2	1,1,1,1	3,3,3,3	2,2,2,2	10.52,9.04,10.23,10.23	2,2,3,3	9,9,11,13	0,23,377,378	0,9,11,2	0,18,20,4	0,24,83,94	2736.json
898	6,9	0.1767825186252594,0.2764574885368347	2,2	2,2	4,4	2,2	4.0,5.03	0,1	4,4	0,34	0,4	0,5	0,12	1737.json
809	3	0.8772633075714111	0	0	0	1	3.77	0	2	0	0	0	0	2569.json
1279	3,3	0.08280712366104126,0.696222722530365	0,0	0,0	0,0	1,1	3.77,3.77	0,0	1,1	0,393	0,1	0,2	0,8	2748.json
407	6,6	0.9460406303405762,0.9460406303405762	2,2	1,1	3,3	2,2	6.53,6.53	1,1	1,1	0,0	0,1	0,2	0,10	2786.json
387	4	0.3634049594402313	0	0	0	1	3.46	0	1	0	0	0	0	577.json
1426	20,16,17,18,18,18	0.0025546224787831306,0.0015587288653478026,0.0,0.0,0.0,0.0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2,2,2,2,2,2	4.38,4.9,4.75,4.97,4.97,4.97	1,1,1,1,1,1	9,10,13,15,16,16	0,480,588,611,718,819	0,4,1,3,1,1	0,11,1,5,2,2	0,178,115,79,10,5	44.json
1350	8	0.8422415256500244	2	1	3	2	5.29	1	2	0	0	0	0	1285.json
1538	4,4,4,4	0.7488735914230347,0.6921860575675964,0.534984827041626,0.7479470372200012	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.46,3.46,3.46,3.46	0,0,0,0	0,1,1,1	0,41,235,1087	0,1,1,1	0,2,2,2	0,17,9,2	250.json
1549	17,18,18,21,21,20,20,20,24,29,29,29,29,29,29,33,33	0.0,7.983658579178154E-4,2.272595593240112E-4,1.524561521364376E-4,1.7567086615599692E-4,2.680878387764096E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	2,2,2,4,4,4,4,4,5,10,10,10,10,10,10,12,12	2,2,2,3,3,3,3,3,4,7,7,7,7,7,7,8,8	4,4,4,7,7,7,7,7,9,17,17,17,17,17,17,20,20	3,3,3,4,4,4,4,4,5,6,6,6,6,6,6,7,7	4.31,4.19,4.19,5.11,5.11,5.23,5.23,5.23,5.96,5.67,5.67,5.67,5.67,5.67,5.67,5.45,5.45	1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2	13,11,16,18,18,17,17,17,23,33,33,33,32,32,32,35,35	0,43,56,57,64,161,244,246,264,363,367,367,455,539,796,920,1098	0,8,5,7,6,0,9,5,4,5,5,1,1,2,1,4,7	0,15,10,11,12,1,18,10,4,5,10,2,2,4,2,4,14	0,131,201,56,31,16,45,51,171,269,528,4,10,2,6,109,14	927.json
1047	4	0.5751814246177673	0	0	0	1	3.46	0	0	0	0	0	0	2140.json
1538	18,3,4,5,4	0.196552574634552,0.854825496673584,0.19252388179302216,2.8401671443134546E-4,0.8217746019363403	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	2,1,1,1,1	5.96,3.77,3.46,3.92,3.46	1,0,0,0,0	7,1,3,6,1	0,4,328,520,1047	0,3,4,1,4	0,21,8,1,9	0,303,55,110,163	1937.json
1539	4,4,4,4	0.7859746813774109,0.7233036756515503,0.6511149406433105,0.8031553030014038	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.46,3.46,3.46,3.46	0,0,0,0	0,1,1,1	0,42,236,1088	0,1,1,1	0,2,2,2	0,17,9,2	225.json
1538	8,8,8,8,8	0.2501339018344879,0.23397761583328247,0.2393406182527542,0.2827211022377014,0.27860477566719055	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	2,2,2,2,2	5.29,5.29,5.29,5.29,5.29	1,1,1,1,1	4,4,4,4,4	0,32,107,251,1151	0,1,1,7,1	0,2,2,14,2	0,7,6,33,14	1457.json
