Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
5798	7,7,7,7,7,7,7,7	0.17038996517658234,0.16101108491420746,0.19687491655349731,0.14321310818195343,0.14321310818195343,0.14321310818195343,0.15174274146556854,0.1561618149280548	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56	1,1,1,1,1,1,1,1	3,3,3,3,3,3,3,3	0,70,680,1924,2014,2037,3152,3152	0,1,1,2,0,0,1,1	0,2,2,4,0,0,2,2	0,12,15,13,0,0,12,6	2311.json
2371	15,15	0.05366286635398865,0.05235768482089043	4,4	3,3	7,7	4,4	2.72,2.72	1,1	1,1	0,247	0,1	0,2	0,12	2326.json
1856	12,12,12	0.2935435175895691,0.29427772760391235,0.6371808052062988	1,1,1	3,3,3	4,4,4	5,5,5	6.14,2.75,2.75	2,2,2	0,0,0	0,581,1186	0,1,3	0,2,6	0,126,67	2826.json
6145	9,9,9,9	0.5898109674453735,0.5898109674453735,0.5898109674453735,0.5745957493782043	3,3,3,3	2,2,2,2	5,5,5,5	3,3,3,3	2.67,2.67,2.67,2.67	1,1,1,1	0,0,0,0	0,2361,2384,3499	0,0,0,1	0,0,0,2	0,0,0,12	1947.json
6486	4,7,7,7,7,6,6,6,6,4,4,4,4	0.9134995341300964,0.700543224811554,0.8083850145339966,0.8083850145339966,0.8083850145339966,0.7495903372764587,0.7569467425346375,0.11282280087471008,0.4999379813671112,0.11215616762638092,0.22664424777030945,0.36313390731811523,0.25047510862350464	0,1,1,1,1,1,1,1,1,0,0,0,0	0,1,1,1,1,1,1,1,1,0,0,0,0	0,2,2,2,2,2,2,2,2,0,0,0,0	1,2,2,2,2,2,2,2,2,1,1,1,1	2.0,2.56,2.56,2.56,2.56,2.75,2.75,2.75,2.75,2.0,2.0,2.0,2.0	0,1,1,1,1,1,1,1,1,0,0,0,0	1,1,1,1,1,1,1,1,1,2,2,2,2	0,366,378,2702,2725,3549,3840,3940,3940,5389,5437,5816,6441	0,3,1,0,0,2,1,1,1,1,1,1,1	0,3,2,0,0,5,2,2,2,4,2,2,2	0,99,26,0,0,62,6,47,25,75,3,19,14	2063.json
6425	3,3,3,3,3	0.7764579057693481,0.3623122572898865,0.3623122572898865,0.3623122572898865,0.8333464860916138	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	0,1,1,1,1	0,2,2641,2664,3123	0,1,0,0,1	0,2,0,0,2	0,12,0,0,52	1182.json
346	3	0.0014203677419573069	0	0	0	1	1.89	0	0	0	0	0	0	2483.json
5665	3,4,4,4	0.9550656080245972,0.9260619282722473,0.9260619282722473,0.9260619282722473	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,2.0,2.0,2.0	0,0,0,0	0,0,0,0	0,302,1881,1904	0,2,0,0	0,3,0,0	0,29,0,0	530.json
1338	3	0.11374690383672714	0	0	0	1	1.89	0	2	0	0	0	0	2039.json
5665	7,7,8,8,8,8,8,8	0.02599826641380787,0.024585960432887077,0.03829750791192055,0.03277847543358803,0.03277847543358803,0.03277847543358803,0.03373287245631218,0.03283267468214035	2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1	3,3,3,3,3,3,3,3	2,2,2,2,2,2,2,2	3.33,3.33,3.12,3.12,3.12,3.12,3.12,3.12	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	0,291,302,1786,1881,1904,3019,3019	0,4,2,1,0,0,1,1	0,8,3,2,0,0,2,2	0,12,29,4,0,0,6,6	526.json
