Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2361	3,3,3,3	5.354435998015106E-4,4.073801974300295E-4,5.247285007499158E-4,5.247285007499158E-4	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	1,1,1,1	18.0,18.0,18.0,18.0	6.0,6.0,6.0,6.0	24.0,24.0,24.0,24.0	8.0,8.0,8.0,8.0	24.0,24.0,24.0,24.0	32.0,32.0,32.0,32.0	146.7188,146.7188,146.7188,146.7188	12.0,12.0,12.0,12.0	1760.6255,1760.6255,1760.6255,1760.6255	97.81253,97.81253,97.81253,97.81253	0.048906267,0.048906267,0.048906267,0.048906267	127.03218841552734,127.03218841552734,127.03218841552734,127.03218841552734	0,2190,2190,2190	0,1,1,0	0,2,2,0	0,18,13,0	1997.json
739	14,15	0.0010269720805808902,0.0010683754226192832	7,8	5,6	12,14	8,9	5.74,5.69	1,1	5,5	32.0,32.0	17.0,18.0	109.0,116.0	35.0,38.0	49.0,50.0	144.0,154.0	808.5182,869.1538	32.941177,33.77778	26633.541,29358.084	1479.6411,1631.0046	0.26950607,0.28971794	91.59221649169922,89.86848449707031	0,105	0,1	0,1	0,48	2430.json
323	8	0.020049531012773514	4	6	10	6	3.46	0	3	25.0	9.0	68.0	22.0	34.0	90.0	457.87167	30.555555	13990.523	777.2513	0.15262389	104.07478332519531	0	0	0	0	2506.json
3510	3	0.3838198781013489	0	0	0	1	3.77	0	2	15.0	3.0	19.0	4.0	18.0	23.0	95.90828	10.0	959.08276	53.282375	0.031969428	129.2428436279297	0	0	0	0	1582.json
1793	65,64,64	0.0,0.0,0.0	16,16,16	20,20,20	36,36,36	15,16,16	6.89,6.92,6.92	2,2,2	21,22,21	77.0,78.0,77.0	65.0,62.0,62.0	439.0,434.0,431.0	190.0,187.0,187.0	142.0,140.0,139.0	629.0,621.0,618.0	4497.191,4427.2847,4399.506	112.53846,117.62903,116.120964	506106.94,520777.2,510874.88	28117.053,28932.066,28381.938	1.4990636,1.4757615,1.466502	56.186641693115234,56.289276123046875,56.32200622558594	0,207,1264	0,6,1	0,12,2	0,342,23	2844.json
171	35	0.0	2	2	4	2	8.07	2	11	50.0	31.0	257.0	66.0	81.0	323.0	2047.7715	53.22581	108994.3	6055.239	0.6825905	73.2959213256836	0	0	0	0	1999.json
3630	11,11,11,11,11,11,11,11	0.001349958823993802,0.0014554641675204039,0.0014554641675204039,0.0014554641675204039,7.74494546931237E-4,7.74494546931237E-4,7.74494546931237E-4,7.74494546931237E-4	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67	1,1,1,1,1,1,1,1	3,3,3,3,3,3,3,3	29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0	11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0	79.0,79.0,79.0,79.0,82.0,82.0,82.0,82.0	26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0	40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0	105.0,105.0,105.0,105.0,109.0,109.0,109.0,109.0	558.8024,558.8024,558.8024,558.8024,583.97314,583.97314,583.97314,583.97314	34.272724,34.272724,34.272724,34.272724,32.625,32.625,32.625,32.625	19151.682,19151.682,19151.682,19151.682,19052.123,19052.123,19052.123,19052.123	1063.9823,1063.9823,1063.9823,1063.9823,1058.4513,1058.4513,1058.4513,1058.4513	0.18626748,0.18626748,0.18626748,0.18626748,0.19465771,0.19465771,0.19465771,0.19465771	99.02996063232422,99.02996063232422,99.02996063232422,99.02996063232422,98.80084991455078,98.80084991455078,98.80084991455078,98.80084991455078	0,98,448,504,525,1338,2675,3010	0,1,0,0,1,1,1,1	0,2,0,0,2,2,2,2	0,7,0,0,19,1,1,1	931.json
3468	3	0.31650984287261963	0	0	0	1	3.77	0	2	12.0	3.0	18.0	3.0	15.0	21.0	82.0447	6.0	492.2682	27.348232	0.027348233	130.05470275878906	0	0	0	0	1642.json
3511	3,3	0.598893940448761,0.5400894284248352	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	12.0,12.0	4.0,4.0	14.0,14.0	4.0,4.0	16.0,16.0	18.0,18.0	72.0,72.0	6.0,6.0	432.0,432.0	24.0,24.0	0.024,0.024	130.7338104248047,130.7338104248047	0,1	0,3	0,6	0,9	1577.json
1138	20,20	0.0,0.0	7,7	7,7	14,14	5,5	6.44,6.44	2,2	7,7	26.0,26.0	17.0,17.0	136.0,136.0	50.0,50.0	43.0,43.0	186.0,186.0	1009.2852,1009.2852	38.235294,38.235294	38590.316,38590.316	2143.9065,2143.9065	0.3364284,0.3364284	85.35074615478516,85.35074615478516	0,1121	0,0	0,0	0,0	326.json
