Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2947	6,6,6,6	0.4928092360496521,0.4757133424282074,0.36386042833328247,0.4951850473880768	1,1,1,1	1,1,1,1	2,2,2,2	2,2,2,2	2.75,2.75,2.75,2.75	1,1,1,1	2,2,3,2	0,12,164,410	0,1,1,2	0,2,2,4	0,7,12,19	9386.json
2213	3,3	0.5955714583396912,0.5955714583396912	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,0	0,0	0,0	0,0	1926.json
1619	4	0.16790688037872314	0	0	0	1	2.0	0	2	0	0	0	0	17137.json
2007	3,3,3,9	0.7845999002456665,0.771909773349762,0.543764591217041,0.2598462700843811	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,2.67	0,0,0,1	1,1,1,4	0,0,537,900	0,3,1,7	0,6,2,8	0,12,4,162	14296.json
1619	3	0.4250171482563019	0	0	0	1	1.89	0	1	0	0	0	0	15430.json
2857	3,3	0.20502129197120667,0.5051268339157104	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,4	0,1358	0,1	0,2	0,35	6513.json
1540	3	0.8165161609649658	0	0	0	1	1.89	0	0	0	0	0	0	4016.json
1203	3	0.23303629457950592	0	0	0	1	1.89	0	2	0	0	0	0	14235.json
1224	4	0.4698314964771271	0	0	0	1	2.0	0	2	0	0	0	0	5586.json
1847	3,3,3	0.8377193212509155,0.8055711388587952,0.8130248188972473	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	0,34,147	0,1,1	0,2,2	0,6,7	10416.json
1547	3	0.9500916004180908	0	0	0	1	1.89	0	0	0	0	0	0	6428.json
1496	3	0.701804518699646	0	0	0	1	1.89	0	2	0	0	0	0	6262.json
2005	13,13	0.09417487680912018,0.04629157856106758	2,2	2,2	4,4	3,3	3.29,3.29	1,1	4,4	0,1632	0,1	0,2	0,14	14915.json
1553	3,3,3	0.1796610802412033,0.6531070470809937,0.08301683515310287	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	3,1,2	0,53,95	0,2,1	0,4,2	0,72,44	10921.json
2702	5	0.20018157362937927	0	0	0	1	1.5	0	0	0	0	0	0	18574.json
2321	3	0.9509325623512268	0	0	0	1	1.89	0	0	0	0	0	0	3198.json
1534	3,3	0.07207407802343369,0.07207407802343369	0,0	0,0	0,0	1,1	1.89,1.89	0,0	2,2	0,107	0,0	0,0	0,0	18357.json
4340	3,3,3,3,3,3,3,3	0.06591463834047318,0.06591463834047318,0.057415671646595,0.057415671646595,0.057415671646595,0.052506864070892334,0.052506864070892334,0.052506864070892334	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	0,0,18,1218,1238,1626,1649,1664	0,0,3,0,0,2,0,0	0,0,6,0,0,4,0,0	0,0,24,0,0,10,0,0	3663.json
1979	21	0.002654462354257703	5	5	10	6	2.24	1	15	0	0	0	0	10794.json
1427	5,3,3	0.2768756151199341,0.15525203943252563,0.023006509989500046	0,0,0	0,0,0	0,0,0	1,1,1	1.89,2.0,1.89	0,0,0	5,5,6	0,111,115	0,1,1	0,4,3	0,100,111	18211.json
2737	7,7	0.3292466402053833,0.3580770790576935	1,1	1,1	2,2	2,2	2.56,2.56	1,1	2,2	0,732	0,1	0,2	0,32	14814.json
2193	3	0.19926343858242035	0	0	0	1	1.89	0	0	0	0	0	0	9518.json
2064	14,12,14,14	0.04091520980000496,8.933218196034431E-4,0.12301544100046158,0.16275554895401	1,2,1,1	1,1,1,1	2,3,2,2	3,2,3,3	3.09,1.97,3.09,3.09	2,1,2,2	6,7,6,7	0,277,290,364	0,7,12,3	0,18,19,6	0,223,217,15	12222.json
2196	7,8,8	0.017553336918354034,0.016947466880083084,0.01614520326256752	0,0,0	0,0,0	0,0,0	1,1,1	1.81,3.43,3.43	0,0,0	8,8,8	0,151,1080	0,6,1	0,11,2	0,70,14	415.json
2723	3,3,3	0.9284536242485046,0.9173606634140015,0.9173606634140015	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	0,0,5	0,1,0	0,2,0	0,4,0	4040.json
2352	3,3	0.8967580199241638,0.20065949857234955	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,73	0,2	0,4	0,35	7397.json
1149	4	0.2281813770532608	0	0	0	1	2.0	0	1	0	0	0	0	12088.json
2142	3	0.918095588684082	0	0	0	1	1.89	0	0	0	0	0	0	13560.json
