Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
316	13	0.014097948558628559	0	0	0	1	1.76	1	14	25.0	10.0	78.0	21.0	35.0	99.0	507.799	26.249998	13329.723	740.54016	0.16926634	96.82137298583984	0	0	0	0	206.json
2187	21,22,22,22,22,22,22,22,14,14,14,14	0.004399447236210108,0.003924111369997263,0.003930038306862116,0.003930038306862116,0.003930038306862116,0.0035464696120470762,0.0038258316926658154,0.00364067405462265,0.051607050001621246,0.05349555239081383,0.05349555239081383,0.05430915579199791	2,2,2,2,2,2,2,2,1,1,1,1	2,2,2,2,2,2,2,2,1,1,1,1	4,4,4,4,4,4,4,4,2,2,2,2	4,4,4,4,4,4,4,4,3,3,3,3	3.82,3.75,3.75,3.75,3.75,1.87,1.87,1.87,1.81,1.81,1.81,1.81	2,2,2,2,2,2,2,2,2,2,2,2	11,11,11,11,11,11,11,11,5,5,5,5	41.0,43.0,43.0,43.0,43.0,43.0,42.0,42.0,28.0,27.0,27.0,26.0	15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,9.0,9.0,9.0	102.0,105.0,105.0,105.0,105.0,105.0,104.0,104.0,63.0,62.0,62.0,61.0	36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,20.0,20.0,20.0,20.0	56.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,37.0,36.0,36.0,35.0	138.0,141.0,141.0,141.0,141.0,141.0,140.0,140.0,83.0,82.0,82.0,81.0	801.415,825.97534,825.97534,825.97534,825.97534,825.97534,816.6046,816.6046,432.38464,423.93387,423.93387,415.47192	49.2,51.600002,51.600002,51.600002,51.600002,51.600002,50.4,50.4,31.111113,30.000002,30.000002,28.88889	39429.617,42620.33,42620.33,42620.33,42620.33,42620.33,41156.875,41156.875,13451.968,12718.017,12718.017,12002.522	2190.5342,2367.796,2367.796,2367.796,2367.796,2367.796,2286.4932,2286.4932,747.33154,706.55646,706.55646,666.8068	0.26713833,0.27532512,0.27532512,0.27532512,0.27532512,0.27532512,0.27220154,0.27220154,0.14412822,0.14131129,0.14131129,0.13849065	85.98956298828125,85.07897186279297,85.07897186279297,85.07897186279297,85.07897186279297,85.07897186279297,85.1383056640625,85.1383056640625,95.99683380126953,96.09947204589844,96.09947204589844,96.20431518554688	0,67,145,145,162,245,247,250,524,644,1240,1563	0,2,2,0,0,0,1,1,4,1,0,1	0,3,4,0,0,0,2,2,16,2,0,2	0,41,27,0,0,143,10,6,521,14,0,8	2032.json
460	4	0.48067107796669006	2	1	3	2	1.0	0	3	14.0	4.0	23.0	5.0	18.0	28.0	116.757904	8.75	1021.63165	56.757313	0.0389193	123.32949829101562	0	0	0	0	1729.json
1628	12,12	0.0073244390077888966,0.0073244390077888966	1,1	3,3	4,4	3,3	2.01,2.01	1,1	8,8	29.0,29.0	20.0,20.0	68.0,68.0	30.0,30.0	49.0,49.0	98.0,98.0	550.2416,550.2416	21.75,21.75	11967.754,11967.754	664.87524,664.87524	0.18341386,0.18341386	97.24065399169922,97.24065399169922	0,682	0,0	0,0	0,0	430.json
1185	3,3,12,12,12	0.844715416431427,0.942168116569519,0.008584619499742985,0.008584619499742985,0.0092805540189147	0,0,3,3,3	0,0,3,3,3	0,0,6,6,6	1,1,4,4,4	0.94,0.94,1.37,1.37,1.37	0,0,3,3,3	0,0,2,2,2	12.0,12.0,20.0,20.0,21.0	2.0,2.0,5.0,5.0,5.0	15.0,15.0,55.0,55.0,55.0	2.0,2.0,19.0,19.0,19.0	14.0,14.0,25.0,25.0,26.0	17.0,17.0,74.0,74.0,74.0	64.72504,64.72504,343.64536,343.64536,347.83255	6.0,6.0,38.0,38.0,39.899998	388.35022,388.35022,13058.523,13058.523,13878.518	21.575012,21.575012,725.4735,725.4735,771.02875	0.021575011,0.021575011,0.11454845,0.11454845,0.115944184	131.28770446777344,131.28770446777344,99.45854187011719,99.45854187011719,99.39556121826172	0,12,18,238,317	0,1,10,0,1	0,2,11,0,2	0,17,327,0,12	1730.json
929	4	0.6072773337364197	0	0	0	1	1.0	0	0	13.0	2.0	16.0	4.0	15.0	20.0	78.13781	13.0	1015.7915	56.43286	0.026045937	125.64796447753906	0	0	0	0	469.json
1941	3,3	0.8924518823623657,0.8924518823623657	0,0	0,0	0,0	1,1	0.94,0.94	0,0	0,0	13.0,13.0	2.0,2.0	16.0,16.0	2.0,2.0	15.0,15.0	18.0,18.0	70.32403,70.32403	6.5,6.5	457.10617,457.10617	25.394787,25.394787	0.023441343,0.023441343	130.85629272460938,130.85629272460938	0,994	0,0	0,0	0,0	60.json
1662	3,3,3,3,3,8	0.7309859395027161,0.7607833743095398,0.7540265321731567,0.7540265321731567,0.8158615231513977,0.5863457322120667	0,0,0,0,0,1	0,0,0,0,0,1	0,0,0,0,0,2	1,1,1,1,1,2	0.94,0.94,0.94,0.94,0.94,1.41	0,0,0,0,0,1	2,2,2,2,2,2	13.0,13.0,13.0,13.0,12.0,16.0	1.0,1.0,1.0,1.0,2.0,5.0	17.0,17.0,17.0,17.0,15.0,28.0	1.0,1.0,1.0,1.0,2.0,6.0	14.0,14.0,14.0,14.0,14.0,21.0	18.0,18.0,18.0,18.0,17.0,34.0	68.53239,68.53239,68.53239,68.53239,64.72504,149.33879	6.5,6.5,6.5,6.5,6.0,9.6	445.4605,445.4605,445.4605,445.4605,388.35022,1433.6525	24.747807,24.747807,24.747807,24.747807,21.575012,79.64736	0.022844128,0.022844128,0.022844128,0.022844128,0.021575011,0.049779598	130.99049377441406,130.99049377441406,130.99049377441406,130.99049377441406,131.28770446777344,110.82071685791016	0,108,131,716,718,975	0,1,3,0,2,8	0,2,6,0,4,11	0,9,6,0,31,124	961.json
2025	3,3,3,3,3,3,3,3,3	0.2774696946144104,0.2774696946144104,0.2677474617958069,0.2677474617958069,0.2677474617958069,0.765204131603241,0.765204131603241,0.765204131603241,0.765204131603241	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	1.89,1.89,0.94,0.94,0.94,0.94,0.94,0.94,0.94	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0	12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0	41.51318,41.51318,41.51318,41.51318,41.51318,41.51318,41.51318,41.51318,41.51318	4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5	186.80931,186.80931,186.80931,186.80931,186.80931,186.80931,186.80931,186.80931,186.80931	10.378295,10.378295,10.378295,10.378295,10.378295,10.378295,10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727,0.013837727,0.013837727,0.013837727,0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,1,83,214,423,487,897,1079,1285	0,0,0,0,0,2,0,0,0	0,0,0,0,0,4,0,0,0	0,0,8,0,0,21,0,0,0	1598.json
231	5	0.27520138025283813	0	0	0	1	2.71	0	3	13.0	4.0	22.0	9.0	17.0	31.0	126.71135	14.625	1853.1534	102.95297	0.042237118	119.5191650390625	0	0	0	0	1319.json
959	3,3	0.8542589545249939,0.8542589545249939	0,0	0,0	0,0	1,1	0.94,0.94	0,0	0,0	9.0,9.0	2.0,2.0	10.0,10.0	2.0,2.0	11.0,11.0	12.0,12.0	41.51318,41.51318	4.5,4.5	186.80931,186.80931	10.378295,10.378295	0.013837727,0.013837727	133.59722900390625,133.59722900390625	0,13	0,0	0,0	0,0	643.json
892	26,28,34,36,14,14,14	0.0,0.0,0.0,0.0,0.00980464182794094,0.00980464182794094,0.00980464182794094	9,8,10,10,0,0,0	7,7,8,8,0,0,0	16,15,18,18,0,0,0	6,7,8,8,3,3,3	2.37,2.14,2.08,2.11,1.96,1.96,1.96	3,3,3,3,1,1,1	17,15,15,15,5,5,5	49.0,46.0,48.0,49.0,33.0,33.0,33.0	15.0,15.0,20.0,20.0,12.0,12.0,12.0	149.0,148.0,172.0,173.0,80.0,80.0,80.0	41.0,41.0,54.0,54.0,20.0,20.0,20.0	64.0,61.0,68.0,69.0,45.0,45.0,45.0	190.0,189.0,226.0,227.0,100.0,100.0,100.0	1140.0,1120.9094,1375.7666,1386.635,549.1853,549.1853,549.1853	66.96667,62.86667,64.8,66.15,27.5,27.5,27.5	76342.0,70467.84,89149.68,91725.91,15102.596,15102.596,15102.596	4241.222,3914.8801,4952.76,5095.884,839.0331,839.0331,839.0331	0.38,0.37363648,0.45858887,0.46221167,0.18306176,0.18306176,0.18306176	80.2371597290039,78.8944320678711,74.45377349853516,73.48689270019531,94.75340270996094,94.75340270996094,94.75340270996094	0,13,15,46,49,110,139	0,14,17,43,11,0,0	0,24,26,84,57,0,0	0,426,582,120,1670,0,0	1148.json
2187	3,3,3,3,3,3,3,3	0.048735495656728745,0.048735495656728745,0.048735495656728745,0.0465119294822216,0.05591783672571182,0.05591783672571182,0.05591783672571182,0.05591783672571182	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	1.89,1.89,1.89,0.94,0.94,0.94,0.94,0.94	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0	4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0	17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0	6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0	16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0	23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0	92.0,92.0,92.0,92.0,98.099106,98.099106,98.099106,98.099106	9.0,9.0,9.0,9.0,9.75,9.75,9.75,9.75	828.0,828.0,828.0,828.0,956.4663,956.4663,956.4663,956.4663	46.0,46.0,46.0,46.0,53.137016,53.137016,53.137016,53.137016	0.030666666,0.030666666,0.030666666,0.030666666,0.0326997,0.0326997,0.0326997,0.0326997	129.4591827392578,129.4591827392578,129.4591827392578,129.4591827392578,129.12539672851562,129.12539672851562,129.12539672851562,129.12539672851562	0,145,162,245,589,635,663,1240	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,8,10,0,0,0	537.json
1841	3,3	0.9117393493652344,0.8731369972229004	0,0	0,0	0,0	1,1	0.94,0.94	0,0	0,0	10.0,10.0	2.0,2.0	11.0,11.0	2.0,2.0	12.0,12.0	13.0,13.0	46.604515,46.604515	5.0,5.0	233.02258,233.02258	12.945699,12.945699	0.015534839,0.015534839	132.9956512451172,132.9956512451172	0,894	0,1	0,2	0,17	73.json
2187	3,3,3,3,3,3,3,3,3	0.9401814937591553,0.9190999865531921,0.9190999865531921,0.9190999865531921,0.9153783321380615,0.914398729801178,0.914398729801178,0.8808518648147583,0.8808518648147583	1,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,0	2,1,1,1,1,1,1,1,1	1.89,1.89,1.89,1.89,0.94,0.94,0.94,0.94,0.94	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	11.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0	3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	12.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0	4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	14.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0	16.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0	60.91768,41.51318,41.51318,41.51318,41.51318,46.604515,46.604515,46.604515,46.604515	7.3333335,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0	446.72964,186.80931,186.80931,186.80931,186.80931,233.02258,233.02258,233.02258,233.02258	24.818314,10.378295,10.378295,10.378295,10.378295,12.945699,12.945699,12.945699,12.945699	0.020305892,0.013837727,0.013837727,0.013837727,0.013837727,0.015534839,0.015534839,0.015534839,0.015534839	131.37295532226562,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,132.9956512451172,132.9956512451172,132.9956512451172,132.9956512451172	0,105,145,153,245,1223,1240,1246,1434	0,2,0,0,0,1,0,1,0	0,4,0,0,0,2,0,2,0	0,39,0,0,8,10,0,4,0	994.json
2187	3,3,3,3,3,3,3,3	0.06513813138008118,0.06513813138008118,0.06513813138008118,0.062215134501457214,0.07068318873643875,0.07068318873643875,0.07068318873643875,0.07068318873643875	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	1.89,1.89,1.89,0.94,0.94,0.94,0.94,0.94	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0	4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0	16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0	6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0	15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0	22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0	85.95159,85.95159,85.95159,85.95159,92.0,92.0,92.0,92.0	8.25,8.25,8.25,8.25,9.0,9.0,9.0,9.0	709.10065,709.10065,709.10065,709.10065,828.0,828.0,828.0,828.0	39.39448,39.39448,39.39448,39.39448,46.0,46.0,46.0,46.0	0.02865053,0.02865053,0.02865053,0.02865053,0.030666666,0.030666666,0.030666666,0.030666666	129.81280517578125,129.81280517578125,129.81280517578125,129.81280517578125,129.4591827392578,129.4591827392578,129.4591827392578,129.4591827392578	0,145,162,245,589,635,663,1240	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,8,10,0,0,0	533.json
1649	3,4,4	0.8765529990196228,0.8026275038719177,0.8026275038719177	0,0,0	0,0,0	0,0,0	1,1,1	0.94,1.0,1.0	0,0,0	0,0,0	9.0,12.0,12.0	2.0,3.0,3.0	10.0,15.0,15.0	2.0,3.0,3.0	11.0,15.0,15.0	12.0,18.0,18.0	41.51318,70.32403,70.32403	4.5,6.0,6.0	186.80931,421.94415,421.94415	10.378295,23.441341,23.441341	0.013837727,0.023441343,0.023441343	133.59722900390625,126.19583892822266,126.19583892822266	0,272,703	0,4,0	0,7,0	0,42,0	1862.json
1083	29,29,29,29	0.002857064828276634,0.002857064828276634,7.172190817072988E-4,6.920878659002483E-4	5,5,5,5	9,9,10,10	14,14,15,15	8,8,8,8	1.88,1.88,1.87,1.87	2,2,2,2	5,5,5,5	36.0,36.0,37.0,37.0	16.0,16.0,16.0,16.0	131.0,131.0,133.0,133.0	60.0,60.0,60.0,60.0	52.0,52.0,53.0,53.0	191.0,191.0,193.0,193.0	1088.784,1088.784,1105.4886,1105.4886	67.5,67.5,69.375,69.375	73492.92,73492.92,76693.27,76693.27	4082.9402,4082.9402,4260.7373,4260.7373	0.36292803,0.36292803,0.3684962,0.3684962	78.24716186523438,78.24716186523438,78.16798400878906,78.16798400878906	0,136,614,760	0,0,3,31	0,0,4,62	0,0,174,66	1430.json
