Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
6886	23,23,22,22,22,19	0.0280792023986578,0.02546255849301815,0.02920847199857235,0.02664301171898842,0.020597374066710472,0.02092040702700615	1,1,1,1,2,5	2,2,2,2,2,2	3,3,3,3,4,7	3,3,3,3,3,3	1.9,1.9,1.93,1.93,1.93,2.86	1,1,1,1,1,1	20,20,19,21,22,20	0,272,330,361,728,5739	0,1,0,2,1,6	0,2,1,4,2,16	0,35,38,12,22,227	1808.json
6137	36,39,36,36,45,45,17,17,9,9,23,13	3.594683366827667E-4,2.0979539840482175E-4,5.224636406637728E-4,4.2678063618950546E-4,0.0,0.0,0.23691576719284058,0.222391277551651,0.5184870362281799,0.5154831409454346,0.10043428093194962,0.32692351937294006	19,21,19,19,22,22,6,6,3,3,10,4	12,15,14,14,17,17,5,5,3,3,7,4	31,36,33,33,39,39,11,11,6,6,17,8	11,12,11,11,14,14,6,6,3,3,8,4	2.46,2.96,3.03,3.03,3.09,3.09,2.99,2.99,2.06,2.06,2.75,2.66	1,2,2,2,2,2,2,2,1,1,2,1	12,20,20,20,21,21,3,3,4,4,3,4	0,38,39,88,160,165,276,286,760,762,1125,1215	0,10,0,1,9,3,11,1,5,1,19,9	0,17,3,2,9,6,51,2,18,2,24,28	0,149,90,20,241,16,886,30,349,7,437,330	5782.json
4901	17,17,17,17	0.015882618725299835,0.01630041003227234,0.015016809105873108,0.021971195936203003	3,3,3,3	2,2,2,2	5,5,5,5	3,3,3,3	5.67,5.67,5.67,5.67	2,2,2,2	6,6,6,5	0,2740,3754,4227	0,3,2,1	0,6,4,2	0,18,9,14	9386.json
6695	7,6	0.35967114567756653,0.7170716524124146	0,0	0,0	0,0	1,1	1.81,1.89	0,0	3,2	0,139	0,3	0,7	0,45	1926.json
6326	3,3,4	0.38641825318336487,0.39400821924209595,0.49003276228904724	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,2.0	0,0,0	0,1,1	0,2,172	0,1,1	0,2,1	0,16,38	5530.json
5123	19,19,19,11,12,11	0.29159900546073914,0.30447354912757874,0.17034152150154114,0.6773473024368286,0.666388213634491,0.6773473024368286	6,5,4,2,2,2	4,4,4,2,2,2	10,9,8,4,4,4	5,5,5,3,3,3	3.67,3.67,3.67,2.31,2.22,2.31	2,2,2,1,1,1	8,4,4,4,5,4	0,0,0,164,210,210	0,3,3,2,3,0	0,7,6,12,3,3	0,103,68,206,80,80	6513.json
5579	12	0.4386554956436157	0	0	0	2	4.64	1	4	0	0	0	0	4016.json
6279	3,3	0.5660989880561829,0.5395087003707886	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,653	0,1	0,2	0,3	5586.json
3969	4,4	0.5537998080253601,0.5647258162498474	1,1	1,1	2,2	2,2	3.32,3.32	0,0	1,1	0,210	0,1	0,2	0,6	6428.json
535	4	0.024835120886564255	0	0	0	1	2.0	0	2	0	0	0	0	6262.json
5399	3	0.648409366607666	0	0	0	1	1.89	0	1	0	0	0	0	6348.json
6697	3	0.6868687868118286	0	0	0	1	1.89	0	0	0	0	0	0	3198.json
6661	6,6,6	0.06092510372400284,0.06098712980747223,0.06457474827766418	1,1,1	1,1,1	2,2,2	2,2,2	3.27,3.27,3.27	1,1,1	4,4,4	0,5,84	0,1,1	0,2,2	0,4,5	3663.json
4930	5	0.09604650735855103	0	0	0	1	4.66	0	3	0	0	0	0	9518.json
6769	3,3	0.8390551209449768,0.940879762172699	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,2192	0,1	0,2	0,5	415.json
5579	7,7,7,7,7	0.21090289950370789,0.6376184821128845,0.6452197432518005,0.6384916305541992,0.6452197432518005	3,3,3,3,3	3,3,3,3,3	6,6,6,6,6	4,4,4,4,4	1.81,1.66,1.66,1.66,1.66	0,0,0,0,0	3,3,3,3,3	0,938,4788,5002,5002	0,2,3,1,1	0,2,6,2,2	0,84,27,2,2	4040.json
6267	5	0.6877267956733704	1	1	2	2	2.99	1	2	0	0	0	0	9358.json
6781	1	0.9853067398071289	0	0	0	1	0.0	0	0	0	0	0	0	7397.json
6298	6,6,3	0.7554249167442322,0.7358147501945496,0.8922431468963623	1,1,0	1,1,0	2,2,0	2,2,1	2.75,2.75,1.89	1,1,0	1,1,1	0,4137,4629	0,1,2	0,2,7	0,11,98	3421.json
7079	3	0.6682870388031006	0	0	0	1	1.89	0	0	0	0	0	0	4374.json
6139	8,8,8,5,4,4,4,4	0.457918643951416,0.39699965715408325,0.453851580619812,0.45492950081825256,0.5444990396499634,0.4684385359287262,0.42553097009658813,0.3830904960632324	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	2.83,2.83,2.83,2.99,2.0,2.0,2.0,2.0	1,1,1,0,0,0,0,0	3,3,3,3,3,3,3,3	0,19,28,490,1498,1525,4992,5345	0,2,2,2,1,1,1,1	0,4,4,7,2,2,2,2	0,14,29,101,26,13,10,9	7188.json
2910	3	0.9706774353981018	0	0	0	1	1.89	0	0	0	0	0	0	431.json
5911	14,14,18,18,8	0.7371505498886108,0.8795154690742493,0.831414520740509,0.834717333316803,0.6814354062080383	2,2,2,2,0	2,2,2,2,0	4,4,4,4,0	5,5,5,5,1	3.61,3.87,5.08,5.08,2.83	2,2,3,3,1	2,2,2,2,2	0,285,1777,3750,4383	0,2,15,2,2	0,2,26,4,16	0,72,153,12,385	6171.json
